counterfactual_label,counterfactual_family,all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,mean_unique_truth_hit_count,failed_selector_case_count,median_required_selector_gain_to_choose_truth,max_required_selector_gain_to_choose_truth,dominant_loss_feature,dominant_loss_feature_case_count,component_balanced_weight,hybrid_span_component_weight,component_min_weight,span_prior_weight,signed_gap_prior_weight,center_prior_weight,rank_sum_weight,max_rank_weight
signed_gap_sweep_w2,signed_gap_sweep,3,6,5,10,1.75,9,0.1541958996372459,0.29570955686183975,signed_gap_prior_score,6,0.5,0.2,0.0,0.5,2.0,0.2,0.1,0.05
signed_gap_sweep_w3,signed_gap_sweep,3,6,5,10,1.75,9,0.1541958996372459,0.42054057769774544,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,3.0,0.2,0.1,0.05
base_current,base,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977454,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.1,0.05
center_sweep_w0.2,center_sweep,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977454,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.1,0.05
component_sweep_w0.5,component_sweep,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977454,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.1,0.05
hybrid_sweep_w0.2,hybrid_sweep,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977454,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.1,0.05
rank_sweep_w0.1,rank_sweep,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977454,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.1,0.05
signed_gap_sweep_w4,signed_gap_sweep,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977454,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.1,0.05
span_sweep_w0.5,span_sweep,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977454,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.1,0.05
center_sweep_w0.4,center_sweep,3,7,5,9,1.75,9,0.18097749906867877,0.5505405776977456,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.4,0.1,0.05
component_sweep_w0.75,component_sweep,3,6,5,10,1.75,9,0.18292573404609702,0.5502206030578829,signed_gap_prior_score,7,0.75,0.2,0.0,0.5,4.0,0.2,0.1,0.05
rank_sweep_w0.2,rank_sweep,3,6,5,10,1.75,9,0.18669589963724587,0.568873911031079,signed_gap_prior_score,7,0.5,0.2,0.0,0.5,4.0,0.2,0.2,0.1
component_sweep_w1,component_sweep,3,6,5,10,1.75,9,0.18992947651958647,0.5647316492539256,signed_gap_prior_score,6,1.0,0.2,0.0,0.5,4.0,0.2,0.1,0.05
hybrid_sweep_w0.4,hybrid_sweep,3,6,5,10,1.75,9,0.22615822239215166,0.5458970213315939,signed_gap_prior_score,7,0.5,0.4,0.0,0.5,4.0,0.2,0.1,0.05
