tx_rx_offset_m,tx_rx_offset_mm,velocity_m_per_ns,time_zero_ns,epsr,profile_score,mean_support_fraction,median_depth_m,valid_cue_count,file
0.0,0.0,0.08,-0.05,14.043049667762773,2.5942897867670807,0.9856473829201103,0.030290766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,-0.0425,14.043049667762773,2.5882265339294572,0.9856473829201103,0.029990766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,-0.035,14.043049667762773,2.582088863835846,0.9856473829201103,0.029690766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,-0.027500000000000004,14.043049667762773,2.575647311471126,0.9856473829201103,0.029390766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,-0.020000000000000004,14.043049667762773,2.569120250600021,0.9856473829201103,0.029090766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,-0.012500000000000004,14.043049667762773,2.562370397410962,0.9856473829201103,0.028790766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,-0.0050000000000000044,14.043049667762773,2.555955192424813,0.9856473829201103,0.028490766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.0024999999999999953,14.043049667762773,2.550011508232623,0.9856473829201103,0.028190766208251478,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.009999999999999995,14.043049667762773,2.5442511268166546,0.9856473829201103,0.027890766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.0175,14.043049667762773,2.538363795021058,0.9856473829201103,0.027590766208251478,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.024999999999999994,14.043049667762773,2.5316060724303107,0.9856473829201103,0.027290766208251473,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.03249999999999999,14.043049667762773,2.5243689851602533,0.9856473829201103,0.026990766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.039999999999999994,14.043049667762773,2.5436305026320625,0.9746280991735538,0.026690766208251473,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.0475,14.043049667762773,2.5458450207022776,0.9712947658402205,0.026390766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.05499999999999999,14.043049667762773,2.538178864304125,0.9712947658402205,0.026090766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.062499999999999986,14.043049667762773,2.5308544917800844,0.9712947658402205,0.025790766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.06999999999999999,14.043049667762773,2.523701021142141,0.9712947658402205,0.025490766208251477,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.0775,14.043049667762773,2.5164737602949874,0.9712947658402205,0.025190766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.085,14.043049667762773,2.5092195659945835,0.9712947658402205,0.024890766208251477,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.09249999999999999,14.043049667762773,2.502059145457679,0.9712947658402205,0.024590766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.09999999999999999,14.043049667762773,2.495094025237129,0.9712947658402205,0.024290766208251477,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.1075,14.043049667762773,2.488189676243367,0.9712947658402205,0.023990766208251472,3,PROJECT001C__014.DZT
