file,channel,apex_group,x_m,apex_time_ns,relative_strength,tx_rx_offset_mm,fitted_velocity_m_per_ns,fitted_epsr,fitted_time_zero_ns,fitted_depth_m,template_score,support_fraction,calibration_scope
PROJECT001C__014.DZT,0,1,0.129987,0.6974459724950884,20.11042460859936,60.0,0.0975,9.454360854562182,0.0775,0.0036594284057571745,3.935877552019568,1.0,field_common_offset_sensitivity_not_ground_truth
PROJECT001C__014.DZT,0,2,0.403293,0.7072691552062869,17.838023207096164,60.0,0.0975,9.454360854562182,0.0775,0.006524302673429751,2.329565882752269,1.0,field_common_offset_sensitivity_not_ground_truth
PROJECT001C__014.DZT,0,3,0.693264,0.7072691552062869,20.637786289751073,60.0,0.0975,9.454360854562182,0.0775,0.006524302673429751,2.9455252405673935,1.0,field_common_offset_sensitivity_not_ground_truth
PROJECT001C__016.DZT,0,1,0.113322,0.7269155206286837,19.673984672528665,60.0,0.09,11.095742947368118,-0.05,0.017952308919532357,3.8773514565649227,1.0,field_common_offset_sensitivity_not_ground_truth
PROJECT001C__016.DZT,0,2,0.43329,0.7662082514734774,18.347304982991623,60.0,0.09,11.095742947368118,-0.05,0.021190722434384288,2.7964743200850615,1.0,field_common_offset_sensitivity_not_ground_truth
PROJECT001C__016.DZT,0,3,0.706596,0.8349705304518664,16.60242760105755,60.0,0.09,11.095742947368118,-0.05,0.026190169921761146,2.6970928110989436,1.0,field_common_offset_sensitivity_not_ground_truth
