file,tx_rx_offset_m,tx_rx_offset_mm,velocity_m_per_ns,time_zero_ns,epsr,profile_score,mean_support_fraction,median_depth_m,valid_cue_count
PROJECT001C__014.DZT,0.0,0.0,0.21500000000000002,0.22000000000000003,1.9443054164128015,2.926846704787694,1.0,0.05238143418467584,3
PROJECT001C__014.DZT,0.02,20.0,0.21500000000000002,0.22749999999999998,1.9443054164128015,2.9263541473573036,1.0,0.0505964388438874,3
PROJECT001C__014.DZT,0.04,40.0,0.115,-0.05,6.7958803685203595,2.9271213132571803,1.0,0.0386780402281773,3
PROJECT001C__014.DZT,0.06,60.0,0.0975,0.0775,9.454360854562182,3.070322891779744,1.0,0.006524302673429751,3
PROJECT001C__014.DZT,0.08,80.0,0.1125,-0.05,7.101275486315596,2.995356605345373,1.0,0.014644194732328975,3
PROJECT001C__014.DZT,0.1,100.0,0.185,-0.05,2.6260195142054568,2.8756144942683863,1.0,0.04905749490529892,3
PROJECT001C__014.DZT,0.12,120.0,0.21250000000000002,-0.05,1.9903228871680383,2.831454996423361,1.0,0.0536077149154063,3
PROJECT001C__016.DZT,0.0,0.0,0.0975,-0.05,9.454360854562182,3.0011732412869336,1.0,0.03979015225933202,3
PROJECT001C__016.DZT,0.02,20.0,0.0975,-0.05,9.454360854562182,3.0150757611845243,1.0,0.038513065533930496,3
PROJECT001C__016.DZT,0.04,40.0,0.0925,-0.05,10.504078056821827,3.0571990647558636,1.0,0.03201616292202494,3
PROJECT001C__016.DZT,0.06,60.0,0.09,-0.05,11.095742947368118,3.1236395292496426,1.0,0.021190722434384288,3
PROJECT001C__016.DZT,0.08,80.0,0.125,-0.05,5.752033143915632,2.84036344870783,1.0,0.0316595605236761,3
PROJECT001C__016.DZT,0.1,100.0,0.1575,-0.05,3.6230997379161205,2.681807597267465,1.0,0.04039128088714254,3
PROJECT001C__016.DZT,0.12,120.0,0.20500000000000002,-0.05,2.13862029443621,2.5721771853970816,1.0,0.0583028367839567,3
