branch_key,case_count,all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,mean_unique_truth_hit_count
target2_close14,6,2,5,3,5,2.1666666666666665
target2_close50_linear29p5,6,1,2,2,4,1.3333333333333333
