family_key,family_label,source_count,tx_rx_offset_mm,target1_target2_gap_mm,target2_x_mm,target2_truth_branch,row_count,truth_geometry_count,truth_geometry_fraction,confidence_label_counts,strong_row_count,moderate_row_count,weak_row_count,fallback_warning_count,radius_margin_abs_min,radius_margin_abs_mean,radius_margin_abs_max,ambiguity_x_width_max_mm,ambiguity_radius_width_max_mm,x_ambiguity_row_count,selected_branch_unique_count,dominant_selected_branch,dominant_selected_branch_count,dominant_selected_branch_fraction,all_rows_same_selected_branch,all_rows_truth,all_rows_nontruth,input_aggregate_json
close14_source3_txrx40,close14 source3 Tx/Rx40,3,40.0,14.0,264.0,"x=264 mm, z=90 mm, r=8 mm",6,6,1.0,strong=6,6,0,0,0,0.0031361796213296295,0.0034781653004305065,0.0038643084898188976,2.0,0.0,6,1,"x=264 mm, z=90 mm, r=8 mm",6,1.0,True,True,False,outputs/experiments/1351_coordinate_confidence_close14_sources3_txrx40_matched_seed_replicates/data/coordinate_confidence_aggregate.json
close50_source3_txrx45,close50 source3 Tx/Rx45,3,45.0,50.0,300.0,"x=300 mm, z=90 mm, r=8 mm",6,0,0.0,"moderate=4,strong=2",2,4,0,0,0.0007332570075111733,0.0009056830292128929,0.0011101610712488247,0.0,0.0,0,1,"x=299 mm, z=90 mm, r=7.5 mm",6,1.0,True,False,True,outputs/experiments/1355_coordinate_confidence_close50_sources3_txrx45_matched_seed_replicates/data/coordinate_confidence_aggregate.json
