branch_key,recommended_half_width_mm,fine_step_mm,coarse_step_mm,stable_seed_case_count,review_case_count,stable_seed_xz_coverage_fraction,review_case_xz_covered_count_at_half_width,per_case_xz_grid_points_fine,stable_total_xz_grid_points_fine,per_case_xz_grid_points_coarse,stable_total_xz_grid_points_coarse,ready_for_branch_xz_seed_neighborhood_contract,ready_for_review_case_inclusion,ready_for_radius_material_contract,ready_for_narrow_refinement_launch,ready_for_detector_seeded_fwi,allowed_use,blocked_use
target2_close14,10.0,2.0,5.0,6,0,1.0,0,1771561,10629366,15625,93750,True,False,False,False,False,branch-specific x/z coordinate seed-neighborhood sizing for stable saved cases,"review-case inclusion, radius/material tensor refinement, detector-seeded FWI"
target2_close50_linear29p5,12.0,2.0,5.0,4,2,1.0,1,4826809,19307236,15625,62500,True,False,False,False,False,branch-specific x/z coordinate seed-neighborhood sizing for stable saved cases,"review-case inclusion, radius/material tensor refinement, detector-seeded FWI"
