half_width_mm,source_case_count,stable_seed_case_count,stable_seed_covered_count,stable_seed_coverage_fraction,review_case_count,review_case_covered_count,all_case_covered_count,all_case_coverage_fraction,uncovered_stable_case_labels,covered_review_case_labels,coverage_dimension,ready_for_lateral_x_slot_neighborhood_design,ready_for_xz_neighborhood_design,ready_for_refinement_launch,allowed_use,blocked_use
2.0,12,10,2,0.2,2,0,2,0.16666666666666666,target2_close14|seed13|nominal;target2_close14|seed21|nominal;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,,lateral_x_slot_only,False,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
3.0,12,10,5,0.5,2,1,6,0.5,target2_close14|seed13|nominal;target2_close14|seed21|nominal;target2_close14|seed34|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal,lateral_x_slot_only,False,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
4.0,12,10,6,0.6,2,1,7,0.5833333333333334,target2_close14|seed13|nominal;target2_close14|seed34|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal,lateral_x_slot_only,False,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
5.0,12,10,7,0.7,2,1,8,0.6666666666666666,target2_close14|seed34|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal,lateral_x_slot_only,False,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
6.0,12,10,8,0.8,2,1,9,0.75,target2_close14|seed34|nominal;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal,lateral_x_slot_only,False,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
8.0,12,10,9,0.9,2,2,11,0.9166666666666666,target2_close14|seed34|nominal,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal,lateral_x_slot_only,False,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
10.0,12,10,10,1.0,2,2,12,1.0,,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal,lateral_x_slot_only,True,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
12.0,12,10,10,1.0,2,2,12,1.0,,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal,lateral_x_slot_only,True,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
15.0,12,10,10,1.0,2,2,12,1.0,,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal,lateral_x_slot_only,True,False,False,lateral x-slot half-width sizing for saved detector seed design,"z coverage, narrow refinement launch, detector-seeded FWI, radius/material recovery"
