cv_strategy,case_count,all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,mean_unique_truth_hit_count,selected_selector_count,dominant_failure_label
leave_one_case,12,0,5,3,10,1.5,2,missing_target1
leave_one_seed,12,0,4,2,10,1.3333333333333333,2,missing_target0_target1
leave_one_branch,12,0,0,3,11,1.1666666666666667,2,missing_target0_target1
