source_label,source_path,evidence_scope,family,spacing_mm,source_count,tx_rx_offset_mm,seed,case_label,case_kind,run_name,best_x_mm,best_z_mm,best_radius_mm,truth_x_mm,truth_z_mm,truth_radius_mm,x_abs_error_mm,radius_abs_error_mm,truth_geometry,confidence_label,radius_margin_abs,best_misfit,ambiguity_x_width_mm,ambiguity_radius_width_mm
close50_txrx40_source3_4_5_three_seed_synthesis,outputs/summary_tables/099_close50_source_count_replicate_synthesis/data/close50_source_count_replicate_rows.csv,matched_source_count_transition,close50,50.0,5,40.0,34,source_mismatch_noise10_seed34,source_mismatch,,300.0,90.0,8.0,300.0,90.0,8.0,0.0,0.0,True,strong,0.0031103868687146624,,,
close50_txrx40_source3_4_5_three_seed_synthesis,outputs/summary_tables/099_close50_source_count_replicate_synthesis/data/close50_source_count_replicate_rows.csv,matched_source_count_transition,close50,50.0,5,40.0,13,noise10_seed13,nominal,,300.0,90.0,8.0,300.0,90.0,8.0,0.0,0.0,True,strong,0.0025742044255295873,,,
close50_txrx40_source3_4_5_three_seed_synthesis,outputs/summary_tables/099_close50_source_count_replicate_synthesis/data/close50_source_count_replicate_rows.csv,matched_source_count_transition,close50,50.0,5,40.0,13,source_mismatch_noise10_seed13,source_mismatch,,300.0,90.0,8.0,300.0,90.0,8.0,0.0,0.0,True,strong,0.0033761133113041145,,,
close50_txrx40_source3_4_5_three_seed_synthesis,outputs/summary_tables/099_close50_source_count_replicate_synthesis/data/close50_source_count_replicate_rows.csv,matched_source_count_transition,close50,50.0,5,40.0,21,noise10_seed21,nominal,,300.0,90.0,8.0,300.0,90.0,8.0,0.0,0.0,True,strong,0.0025465102606929413,,,
close50_txrx40_source3_4_5_three_seed_synthesis,outputs/summary_tables/099_close50_source_count_replicate_synthesis/data/close50_source_count_replicate_rows.csv,matched_source_count_transition,close50,50.0,5,40.0,21,source_mismatch_noise10_seed21,source_mismatch,,300.0,90.0,8.0,300.0,90.0,8.0,0.0,0.0,True,strong,0.0033174471086727386,,,
close25_sources4_txrx40_three_seed,outputs/experiments/310_coordinate_confidence_close25_sources4_txrx40_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,40.0,34,noise10_seed34,nominal,coordinate_optimizer_close25_seed34_sources4_txrx40_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,moderate,0.0006320882682502027,0.051118564187336124,1.0,0.5
close25_sources4_txrx40_three_seed,outputs/experiments/310_coordinate_confidence_close25_sources4_txrx40_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,40.0,34,source_mismatch_noise10_seed34,source_mismatch,coordinate_optimizer_close25_seed34_sources4_txrx40_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.001889269332980864,0.07264044145254722,0.0,0.0
close25_sources4_txrx40_three_seed,outputs/experiments/310_coordinate_confidence_close25_sources4_txrx40_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,40.0,13,noise10_seed13,nominal,coordinate_optimizer_close25_seed13_sources4_txrx40_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,moderate,0.0006942962496388067,0.05156148285349292,1.0,0.5
close25_sources4_txrx40_three_seed,outputs/experiments/310_coordinate_confidence_close25_sources4_txrx40_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,40.0,13,source_mismatch_noise10_seed13,source_mismatch,coordinate_optimizer_close25_seed13_sources4_txrx40_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.001667293996141725,0.07323445730477561,0.0,0.0
close25_sources4_txrx40_three_seed,outputs/experiments/310_coordinate_confidence_close25_sources4_txrx40_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,40.0,21,noise10_seed21,nominal,coordinate_optimizer_close25_seed21_sources4_txrx40_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,weak,0.0004881751262418438,0.05060379462813648,1.0,0.5
close25_sources4_txrx40_three_seed,outputs/experiments/310_coordinate_confidence_close25_sources4_txrx40_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,40.0,21,source_mismatch_noise10_seed21,source_mismatch,coordinate_optimizer_close25_seed21_sources4_txrx40_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.0014287312570640809,0.07394103139190678,0.0,0.0
close25_sources4_txrx45_three_seed,outputs/experiments/323_coordinate_confidence_close25_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,45.0,34,noise10_seed34,nominal,coordinate_optimizer_close25_seed34_sources4_txrx45_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.0025795900957691006,0.04017937737653055,0.0,0.0
close25_sources4_txrx45_three_seed,outputs/experiments/323_coordinate_confidence_close25_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,45.0,34,source_mismatch_noise10_seed34,source_mismatch,coordinate_optimizer_close25_seed34_sources4_txrx45_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.005021892405296907,0.06595007610897269,0.0,0.0
close25_sources4_txrx45_three_seed,outputs/experiments/323_coordinate_confidence_close25_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,45.0,13,noise10_seed13,nominal,coordinate_optimizer_close25_seed13_sources4_txrx45_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.002660967129650582,0.040504127783231744,0.0,0.0
close25_sources4_txrx45_three_seed,outputs/experiments/323_coordinate_confidence_close25_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,45.0,13,source_mismatch_noise10_seed13,source_mismatch,coordinate_optimizer_close25_seed13_sources4_txrx45_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.00445982946617382,0.06669332934266486,0.0,0.0
close25_sources4_txrx45_three_seed,outputs/experiments/323_coordinate_confidence_close25_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,45.0,21,noise10_seed21,nominal,coordinate_optimizer_close25_seed21_sources4_txrx45_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.0025074860351216866,0.03967528139392505,0.0,0.0
close25_sources4_txrx45_three_seed,outputs/experiments/323_coordinate_confidence_close25_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close25,25.0,4,45.0,21,source_mismatch_noise10_seed21,source_mismatch,coordinate_optimizer_close25_seed21_sources4_txrx45_objectives,275.0,90.0,8.0,275.0,90.0,8.0,0.0,0.0,True,strong,0.004658252622167708,0.06707804562107186,0.0,0.0
close28_sources4_txrx35_three_seed,outputs/experiments/314_coordinate_confidence_close28_sources4_txrx35_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,35.0,34,noise10_seed34,nominal,coordinate_optimizer_close28_seed34_sources4_txrx35_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,weak,0.0004530240828705401,0.06632073920678827,1.0,0.5
close28_sources4_txrx35_three_seed,outputs/experiments/314_coordinate_confidence_close28_sources4_txrx35_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,35.0,34,source_mismatch_noise10_seed34,source_mismatch,coordinate_optimizer_close28_seed34_sources4_txrx35_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.0017356425550892618,0.0809855814090509,0.0,0.0
close28_sources4_txrx35_three_seed,outputs/experiments/314_coordinate_confidence_close28_sources4_txrx35_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,35.0,13,noise10_seed13,nominal,coordinate_optimizer_close28_seed13_sources4_txrx35_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,moderate,0.0005832394546896047,0.06692946350825939,1.0,0.5
close28_sources4_txrx35_three_seed,outputs/experiments/314_coordinate_confidence_close28_sources4_txrx35_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,35.0,13,source_mismatch_noise10_seed13,source_mismatch,coordinate_optimizer_close28_seed13_sources4_txrx35_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.0013972842632876542,0.08153275423441425,0.0,0.0
close28_sources4_txrx35_three_seed,outputs/experiments/314_coordinate_confidence_close28_sources4_txrx35_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,35.0,21,noise10_seed21,nominal,coordinate_optimizer_close28_seed21_sources4_txrx35_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,weak,0.00028268910325753016,0.06588083874907795,1.0,0.5
close28_sources4_txrx35_three_seed,outputs/experiments/314_coordinate_confidence_close28_sources4_txrx35_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,35.0,21,source_mismatch_noise10_seed21,source_mismatch,coordinate_optimizer_close28_seed21_sources4_txrx35_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.0015021756042740975,0.08231951711396673,0.0,0.0
close28_sources4_txrx45_three_seed,outputs/experiments/319_coordinate_confidence_close28_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,45.0,34,noise10_seed34,nominal,coordinate_optimizer_close28_seed34_sources4_txrx45_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.0022505580349971993,0.04123131603768281,0.0,0.0
close28_sources4_txrx45_three_seed,outputs/experiments/319_coordinate_confidence_close28_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,45.0,34,source_mismatch_noise10_seed34,source_mismatch,coordinate_optimizer_close28_seed34_sources4_txrx45_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.004467397555517075,0.06838084679143445,0.0,0.0
close28_sources4_txrx45_three_seed,outputs/experiments/319_coordinate_confidence_close28_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,45.0,13,noise10_seed13,nominal,coordinate_optimizer_close28_seed13_sources4_txrx45_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.0022640063947364023,0.04154399374991961,0.0,0.0
close28_sources4_txrx45_three_seed,outputs/experiments/319_coordinate_confidence_close28_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,45.0,13,source_mismatch_noise10_seed13,source_mismatch,coordinate_optimizer_close28_seed13_sources4_txrx45_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.003925377981909922,0.06918555466545191,0.0,0.0
close28_sources4_txrx45_three_seed,outputs/experiments/319_coordinate_confidence_close28_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,45.0,21,noise10_seed21,nominal,coordinate_optimizer_close28_seed21_sources4_txrx45_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.002182033026921236,0.0407032813638046,0.0,0.0
close28_sources4_txrx45_three_seed,outputs/experiments/319_coordinate_confidence_close28_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,three_seed_source4_context,close28,28.0,4,45.0,21,source_mismatch_noise10_seed21,source_mismatch,coordinate_optimizer_close28_seed21_sources4_txrx45_objectives,278.0,90.0,8.0,278.0,90.0,8.0,0.0,0.0,True,strong,0.004156162238102487,0.06948409008577744,0.0,0.0
