step,pass_index,target_index,case_label,x_values_mm,z_values_mm,radii_mm
0,-1,-1,initial,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.0]"
1,0,0,source_mismatch_ringdown050_noise10_seed2504730781961,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.0]"
