config_key,background_mode,top_k,separation_profile,time_offset_family,case_count,all_truth_case_count,unique_all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_max_assigned_rank,max_assigned_rank,mean_elapsed_time_s
mean_top80_distinct20_wide,mean,80,distinct20,wide,12,7,7,11,8,11,11,8,11,2.5,13.142857142857142,18.0,0.9520496129989624
median_top20_distinct20_wide,median,20,distinct20,wide,12,6,6,11,7,12,11,8,11,2.5,13.0,17.0,0.9547131458918253
median_top40_distinct20_wide,median,40,distinct20,wide,12,6,6,11,7,12,11,8,11,2.5,13.0,17.0,0.9575906197230021
median_top80_distinct20_wide,median,80,distinct20,wide,12,6,6,11,7,12,11,8,11,2.5,13.0,17.0,0.9531723459561666
median_top20_moderate12_baseline,median,20,moderate12,baseline,12,6,6,6,12,12,6,12,12,2.5,11.333333333333334,15.0,0.6127997239430746
median_top80_dense4_baseline,median,80,dense4,baseline,12,6,6,6,12,12,6,12,12,2.5,54.666666666666664,71.0,0.8491212129592896
none_top80_dense4_single667,none,80,dense4,single667,12,6,6,6,12,11,6,12,12,2.5,51.5,77.0,0.2706495722134908
none_top20_distinct20_single667,none,20,distinct20,single667,12,6,6,10,12,6,10,12,6,2.3333333333333335,11.5,15.0,0.08710251251856486
none_top40_distinct20_single667,none,40,distinct20,single667,12,6,6,10,12,6,10,12,6,2.3333333333333335,11.5,15.0,0.08749399582544963
none_top80_distinct20_single667,none,80,distinct20,single667,12,6,6,10,12,6,10,12,6,2.3333333333333335,11.5,15.0,0.08752552668253581
median_top20_distinct20_single667,median,20,distinct20,single667,12,6,6,9,12,7,9,12,7,2.3333333333333335,11.833333333333334,19.0,0.08800546328226726
median_top40_distinct20_single667,median,40,distinct20,single667,12,6,6,9,12,7,9,12,7,2.3333333333333335,11.833333333333334,19.0,0.0880722204844157
median_top80_distinct20_single667,median,80,distinct20,single667,12,6,6,9,12,7,9,12,7,2.3333333333333335,11.833333333333334,19.0,0.08842494090398152
none_top40_dense4_single667,none,40,dense4,single667,12,5,6,5,12,9,6,12,10,2.3333333333333335,37.166666666666664,40.0,0.11545048157374065
mean_top40_dense4_single667,mean,40,dense4,single667,12,6,6,6,12,7,6,12,7,2.0833333333333335,36.0,39.0,0.11587963501612346
mean_top20_distinct20_single667,mean,20,distinct20,single667,12,3,5,7,12,7,8,12,8,2.3333333333333335,12.0,20.0,0.08777952194213867
mean_top40_distinct20_single667,mean,40,distinct20,single667,12,3,5,7,12,7,8,12,8,2.3333333333333335,12.0,20.0,0.08783187468846639
mean_top80_distinct20_single667,mean,80,distinct20,single667,12,3,5,7,12,7,8,12,8,2.3333333333333335,12.0,20.0,0.08796419699986775
mean_top20_moderate12_single667,mean,20,moderate12,single667,12,4,5,6,12,8,6,12,9,2.25,11.6,16.0,0.08964488903681438
median_top40_dense4_single667,median,40,dense4,single667,12,3,5,5,12,7,6,12,9,2.25,34.2,39.0,0.11671682198842366
median_top80_dense4_wide,median,80,dense4,wide,12,4,4,4,12,12,4,12,12,2.3333333333333335,74.0,80.0,1.236168344815572
none_top20_moderate12_single667,none,20,moderate12,single667,12,4,4,6,12,9,6,12,9,2.25,9.5,13.0,0.0889515479405721
mean_top80_dense4_wide,mean,80,dense4,wide,12,4,4,4,12,10,4,12,10,2.1666666666666665,74.75,80.0,1.2360870838165283
median_top40_dense4_baseline,median,40,dense4,baseline,12,3,3,3,12,9,3,12,9,2.0,35.333333333333336,40.0,0.6896397074063619
none_top80_dense4_wide,none,80,dense4,wide,12,3,3,3,12,9,3,12,9,2.0,73.66666666666667,77.0,1.2341963648796082
mean_top40_dense4_baseline,mean,40,dense4,baseline,12,3,3,3,12,6,3,12,6,1.75,38.666666666666664,39.0,0.6874180436134338
none_top40_dense4_baseline,none,40,dense4,baseline,12,1,1,1,12,9,1,12,9,1.8333333333333333,40.0,40.0,0.6843418677647909
mean_top20_dense4_baseline,mean,20,dense4,baseline,12,0,0,0,12,6,0,12,6,1.5,,,0.667759895324707
mean_top20_dense4_wide,mean,20,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,,,1.069253961245219
mean_top40_dense4_wide,mean,40,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,,,1.0794469515482585
median_top20_dense4_baseline,median,20,dense4,baseline,12,0,0,0,12,6,0,12,6,1.5,,,0.6694227258364359
median_top20_dense4_wide,median,20,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,,,1.0738700429598491
median_top40_dense4_wide,median,40,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,,,1.0851320028305054
none_top20_dense4_baseline,none,20,dense4,baseline,12,0,0,0,12,6,0,12,6,1.5,,,0.6754605968793234
none_top20_dense4_wide,none,20,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,,,1.0671880046526592
none_top40_dense4_wide,none,40,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,,,1.0765742262204487
none_top20_dense4_single667,none,20,dense4,single667,12,0,0,0,12,3,0,12,4,1.3333333333333333,,,0.10069809357325236
mean_top20_dense4_single667,mean,20,dense4,single667,12,0,0,0,11,4,0,11,4,1.25,,,0.0971020261446635
median_top20_dense4_single667,median,20,dense4,single667,12,0,0,0,9,3,0,10,3,1.0833333333333333,,,0.09771561622619629
