target_index,candidate_csv,candidate_count,candidate_shortfall_from_25,selected_x_mm,selected_z_mm,selected_radius_mm,truth_x_mm,truth_z_mm,truth_radius_mm,selected_is_truth_coordinate,truth_candidate_present,truth_candidate_rank,best_misfit,truth_candidate_misfit,truth_minus_best_misfit_abs,truth_minus_best_misfit_rel,ambiguity_candidate_count,ambiguity_misfit_threshold,final_x_error_mm,final_z_error_mm,final_linf_error_mm,residual_mode,ready_for_more_gpu,allowed_use,blocked_use
0,outputs/experiments/1357_local2d_fixed_radius_second_pass_target2_close14_seed21_nominal_gpu/data/coordinate_step_01_target_0_candidates.csv,25,0,190.0,90.0,5.0,190.0,90.0,5.0,True,True,1,0.06530693489831033,0.06530693489831033,0.0,0.0,2,0.06628653892178499,0.0,0.0,0.0,truth_selected_but_ambiguous,False,CPU residual-cause audit for fixed-radius detector refinement,"immediate GPU loop, broad detector queue, field transfer, FWI launch"
1,outputs/experiments/1357_local2d_fixed_radius_second_pass_target2_close14_seed21_nominal_gpu/data/coordinate_step_02_target_1_candidates.csv,15,10,251.0,89.0,6.0,250.0,90.0,6.0,False,True,2,0.06295447447945064,0.0651040951580757,0.002149620678625064,0.03414563772312538,1,0.0638987915966424,1.0,-1.0,1.0,truth_present_but_objective_prefers_neighbor,False,CPU residual-cause audit for fixed-radius detector refinement,"immediate GPU loop, broad detector queue, field transfer, FWI launch"
2,outputs/experiments/1357_local2d_fixed_radius_second_pass_target2_close14_seed21_nominal_gpu/data/coordinate_step_03_target_2_candidates.csv,20,5,265.0,91.0,8.0,264.0,90.0,8.0,False,False,,0.06122030512371148,,,,1,0.06213860970056715,1.0,1.0,1.0,truth_candidate_absent_after_nonoverlap_filter,False,CPU residual-cause audit for fixed-radius detector refinement,"immediate GPU loop, broad detector queue, field transfer, FWI launch"
