run_name,case_label,objective_label,rank,backend,grid_step_mm,target_rebar_index,candidate_count,case_count,pass_index,step_target_index,update_case_label,step_kind,candidate_target_index,x_mm,z_mm,radius_mm,x_values_mm,z_values_mm,radii_mm,misfit,source_frequency_scale,source_time_shift_ps,source_amplitude_scale,source_ringdown_scale,source_ringdown_delay_ps,source_ringdown_frequency_scale,source_primary_coefficient,source_ringdown_coefficient
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,1,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,80.0,5.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.0]",0.000263801947946543,1.1,-50.0,1.1023784744099432,0.49938785604992686,180.0,0.8,1.1023784744099432,0.5505144228911707
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,2,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,80.0,5.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.25, 6.0, 8.0]",0.0010003614507263403,1.1,-50.0,1.0964025221333225,0.49862709110273534,180.0,0.8,1.0964025221333225,0.546696000289041
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,3,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,81.0,6.0,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[6.0, 6.0, 8.0]",0.0015551930307069308,1.1,-50.0,1.0777564584039048,0.5001785532244775,180.0,0.8,1.0777564584039048,0.5390706660928019
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,4,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,81.0,5.75,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.75, 6.0, 8.0]",0.00223194665388731,1.1,-50.0,1.0896791673288013,0.5019717561680904,180.0,0.8,1.0896791673288013,0.5469881652838209
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,5,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,81.0,6.25,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[6.25, 6.0, 8.0]",0.0032600174210491496,1.1,-50.0,1.0717282889685207,0.49927627116096307,180.0,0.8,1.0717282889685207,0.5350885038139221
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,6,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,80.0,5.5,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.5, 6.0, 8.0]",0.0034810122556269245,1.1,-50.0,1.0890346705985063,0.4977635894246131,180.0,0.8,1.0890346705985063,0.5420818066449636
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,7,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,81.0,5.5,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.5, 6.0, 8.0]",0.0038454139870727367,1.1,-50.0,1.092686546635083,0.502382851482402,180.0,0.8,1.092686546635083,0.5489469830749917
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,8,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,80.0,5.75,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.75, 6.0, 8.0]",0.005844908541722687,1.1,-50.0,1.084270177572703,0.4972673748400141,180.0,0.8,1.084270177572703,0.539172184818894
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,9,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,81.0,5.25,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.25, 6.0, 8.0]",0.007808907364414456,1.1,-50.0,1.097246368765129,0.503131725146814,180.0,0.8,1.097246368765129,0.5520594584278766
coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,highband,10,gpu-cpml,1.0,0,12,1,0,0,source_mismatch_ringdown050_noise10_seed3524578,main,0,150.0,81.0,5.0,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.0, 6.0, 8.0]",0.012681489138946707,1.1,-50.0,1.100765333077404,0.5038019861425466,180.0,0.8,1.100765333077404,0.554567761081258
