case_label,misfit,target_index,x_mm,z_mm,radius_mm,x_values_mm,z_values_mm,radii_mm,source_frequency_scale,source_time_shift_ps,source_amplitude_scale,source_ringdown_scale,source_ringdown_delay_ps,source_ringdown_frequency_scale,source_primary_coefficient,source_ringdown_coefficient
source_mismatch_ringdown050_noise10_seed17167680207565,0.015981679130238843,1,250.0,100.0,6.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.0]",1.1,-50.0,1.1005044787552192,0.4998251926965794,180.0,0.8,1.1005044787552192,0.5500598631572761
source_mismatch_ringdown050_noise10_seed17167680207565,0.01653662247618102,1,250.0,100.0,6.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.25, 8.0]",1.1,-50.0,1.0964424361260705,0.49872662846521604,180.0,0.8,1.0964424361260705,0.5468250394753431
source_mismatch_ringdown050_noise10_seed17167680207565,0.021139821905964976,1,250.0,100.0,6.5,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.5, 8.0]",1.1,-50.0,1.0855515168859367,0.49615518063626496,180.0,0.8,1.0855515168859367,0.5386020089505134
source_mismatch_ringdown050_noise10_seed17167680207565,0.025134541481322287,1,250.0,100.0,6.75,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.75, 8.0]",1.1,-50.0,1.078995849834653,0.49492912085651886,180.0,0.8,1.078995849834653,0.5340264673664973
source_mismatch_ringdown050_noise10_seed17167680207565,0.02999759857621882,1,250.0,100.0,7.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 7.0, 8.0]",1.1,-50.0,1.071834559903318,0.4939750478347222,180.0,0.8,1.071834559903318,0.52945952799915
source_mismatch_ringdown050_noise10_seed17167680207565,0.04553013764913373,1,250.0,100.0,7.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 7.25, 8.0]",1.1,-50.0,1.0527303235488459,0.4913363595840682,180.0,0.8,1.0527303235488459,0.5172446847962482
source_mismatch_ringdown050_noise10_seed17167680207565,0.02513612357694327,1,250.0,101.0,6.0,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.0, 8.0]",1.1,-50.0,1.0968079605199157,0.5075340533845802,180.0,0.8,1.0968079605199157,0.5566673899871475
source_mismatch_ringdown050_noise10_seed17167680207565,0.021648471497052266,1,250.0,101.0,6.25,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.25, 8.0]",1.1,-50.0,1.095681324393652,0.5063468358567484,180.0,0.8,1.095681324393652,0.5547947717140573
source_mismatch_ringdown050_noise10_seed17167680207565,0.017213979536888982,1,250.0,101.0,6.5,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.5, 8.0]",1.1,-50.0,1.0911677221842166,0.5035982019486703,180.0,0.8,1.0911677221842166,0.5495101029163978
source_mismatch_ringdown050_noise10_seed17167680207565,0.016721673782746697,1,250.0,101.0,6.75,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.75, 8.0]",1.1,-50.0,1.0877214244603264,0.5022774322472789,180.0,0.8,1.0877214244603264,0.5463379240782853
source_mismatch_ringdown050_noise10_seed17167680207565,0.017408278957350844,1,250.0,101.0,7.0,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 7.0, 8.0]",1.1,-50.0,1.0834545412884433,0.5012115170395535,180.0,0.8,1.0834545412884433,0.5430398942825742
source_mismatch_ringdown050_noise10_seed17167680207565,0.022950551578749895,1,250.0,101.0,7.25,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 7.25, 8.0]",1.1,-50.0,1.0710883020741324,0.4983213003997954,180.0,0.8,1.0710883020741324,0.5337461155325905
