config_key,assignment_policy_key,assignment_method,span_bonus_weight,background_mode,top_k,separation_profile,time_offset_family,candidate_budget,min_x_separation_mm,case_count,assigned_case_count,all_truth_case_count,unique_all_truth_case_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_elapsed_time_s
none_top20_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,none,20,moderate12,baseline,20,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009363691012064616
none_top40_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,none,40,moderate12,baseline,20,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009388526280721029
none_top80_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,none,80,moderate12,baseline,20,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009340842564900717
none_top20_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,none,20,moderate12,baseline,20,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.0008752743403116862
none_top40_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,none,40,moderate12,baseline,20,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.000878751277923584
none_top80_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,none,80,moderate12,baseline,20,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.0008765459060668945
none_top20_moderate12_baseline,top40_minx8_span0p5,span0p5,0.5,none,20,moderate12,baseline,40,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009302298227945963
none_top20_moderate12_baseline,top40_minx12_span0p5,span0p5,0.5,none,20,moderate12,baseline,40,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.0008714000384012858
none_top20_moderate12_baseline,top10_minx8_span0p5,span0p5,0.5,none,20,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010619560877482097
none_top20_moderate12_baseline,top10_minx8_span1,span1,1.0,none,20,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010152657826741536
none_top40_moderate12_baseline,top10_minx8_span0p5,span0p5,0.5,none,40,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010516246159871419
none_top40_moderate12_baseline,top10_minx8_span1,span1,1.0,none,40,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010075171788533528
none_top80_moderate12_baseline,top10_minx8_span0p5,span0p5,0.5,none,80,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010389089584350586
none_top80_moderate12_baseline,top10_minx8_span1,span1,1.0,none,80,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010095040003458659
none_top20_moderate12_baseline,top10_minx12_span0p5,span0p5,0.5,none,20,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.373823801676433e-05
none_top20_moderate12_baseline,top10_minx12_span1,span1,1.0,none,20,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.306271870930989e-05
none_top40_moderate12_baseline,top10_minx12_span0p5,span0p5,0.5,none,40,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.32614008585612e-05
none_top40_moderate12_baseline,top10_minx12_span1,span1,1.0,none,40,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.232759475708008e-05
none_top80_moderate12_baseline,top10_minx12_span0p5,span0p5,0.5,none,80,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.208917617797852e-05
none_top80_moderate12_baseline,top10_minx12_span1,span1,1.0,none,80,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.28640365600586e-05
none_top40_moderate12_baseline,top40_minx8_span0p5,span0p5,0.5,none,40,moderate12,baseline,40,8.0,12,12,2,2,3,5,10,1.5,0.004404385884602864
none_top80_moderate12_baseline,top40_minx8_span0p5,span0p5,0.5,none,80,moderate12,baseline,40,8.0,12,12,2,2,3,5,10,1.5,0.004377245903015137
none_top40_moderate12_baseline,top40_minx12_span0p5,span0p5,0.5,none,40,moderate12,baseline,40,12.0,12,12,2,2,3,5,10,1.5,0.004161755243937175
none_top80_moderate12_baseline,top40_minx12_span0p5,span0p5,0.5,none,80,moderate12,baseline,40,12.0,12,12,2,2,3,5,10,1.5,0.0041344960530598955
median_top20_moderate12_baseline,top20_minx8_span1,span1,1.0,median,20,moderate12,baseline,20,8.0,12,12,1,1,6,4,9,1.5833333333333333,0.000937183698018392
median_top40_moderate12_baseline,top20_minx8_span1,span1,1.0,median,40,moderate12,baseline,20,8.0,12,12,1,1,6,4,9,1.5833333333333333,0.0009478131930033366
median_top80_moderate12_baseline,top20_minx8_span1,span1,1.0,median,80,moderate12,baseline,20,8.0,12,12,1,1,6,4,9,1.5833333333333333,0.0009459455808003744
median_top20_moderate12_baseline,top40_minx8_span1,span1,1.0,median,20,moderate12,baseline,40,8.0,12,12,1,1,6,4,9,1.5833333333333333,0.0009405016899108887
none_top20_moderate12_baseline,top10_minx8_span2,span2,2.0,none,20,moderate12,baseline,10,8.0,12,12,2,1,3,6,9,1.5,0.00010083119074503581
none_top40_moderate12_baseline,top10_minx8_span2,span2,2.0,none,40,moderate12,baseline,10,8.0,12,12,2,1,3,6,9,1.5,0.00010114908218383789
none_top80_moderate12_baseline,top10_minx8_span2,span2,2.0,none,80,moderate12,baseline,10,8.0,12,12,2,1,3,6,9,1.5,0.00010136763254801433
none_top20_moderate12_baseline,top10_minx12_span2,span2,2.0,none,20,moderate12,baseline,10,12.0,12,12,2,1,3,6,9,1.5,9.292364120483398e-05
none_top40_moderate12_baseline,top10_minx12_span2,span2,2.0,none,40,moderate12,baseline,10,12.0,12,12,2,1,3,6,9,1.5,9.242693583170573e-05
none_top80_moderate12_baseline,top10_minx12_span2,span2,2.0,none,80,moderate12,baseline,10,12.0,12,12,2,1,3,6,9,1.5,9.236733118693034e-05
median_top20_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,median,20,moderate12,baseline,20,8.0,12,12,1,1,4,7,7,1.5,0.0009339054425557455
median_top20_moderate12_baseline,top20_minx8_span2,span2,2.0,median,20,moderate12,baseline,20,8.0,12,12,1,1,5,4,9,1.5,0.0009397069613138834
median_top40_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,median,40,moderate12,baseline,20,8.0,12,12,1,1,4,7,7,1.5,0.0009439587593078613
median_top40_moderate12_baseline,top20_minx8_span2,span2,2.0,median,40,moderate12,baseline,20,8.0,12,12,1,1,5,4,9,1.5,0.0009506344795227051
median_top80_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,median,80,moderate12,baseline,20,8.0,12,12,1,1,4,7,7,1.5,0.0009429653485616049
median_top80_moderate12_baseline,top20_minx8_span2,span2,2.0,median,80,moderate12,baseline,20,8.0,12,12,1,1,5,4,9,1.5,0.0009447733561197916
none_top20_moderate12_baseline,top20_minx8_span1,span1,1.0,none,20,moderate12,baseline,20,8.0,12,12,1,1,1,5,12,1.5,0.0009301503499348959
none_top40_moderate12_baseline,top20_minx8_span1,span1,1.0,none,40,moderate12,baseline,20,8.0,12,12,1,1,1,5,12,1.5,0.0009399056434631348
none_top80_moderate12_baseline,top20_minx8_span1,span1,1.0,none,80,moderate12,baseline,20,8.0,12,12,1,1,1,5,12,1.5,0.0009304285049438477
median_top20_moderate12_baseline,top20_minx12_span1,span1,1.0,median,20,moderate12,baseline,20,12.0,12,12,1,1,6,4,8,1.5,0.0008801619211832682
median_top40_moderate12_baseline,top20_minx12_span1,span1,1.0,median,40,moderate12,baseline,20,12.0,12,12,1,1,6,4,8,1.5,0.0008882482846577963
median_top80_moderate12_baseline,top20_minx12_span1,span1,1.0,median,80,moderate12,baseline,20,12.0,12,12,1,1,6,4,8,1.5,0.0008853475252787272
none_top20_moderate12_baseline,top20_minx12_span1,span1,1.0,none,20,moderate12,baseline,20,12.0,12,12,1,1,1,5,12,1.5,0.0008729497591654459
none_top40_moderate12_baseline,top20_minx12_span1,span1,1.0,none,40,moderate12,baseline,20,12.0,12,12,1,1,1,5,12,1.5,0.0008803208669026693
none_top80_moderate12_baseline,top20_minx12_span1,span1,1.0,none,80,moderate12,baseline,20,12.0,12,12,1,1,1,5,12,1.5,0.0008754730224609375
median_top20_moderate12_baseline,top40_minx8_span0p5,span0p5,0.5,median,20,moderate12,baseline,40,8.0,12,12,1,1,4,7,7,1.5,0.0009356538454691569
median_top20_moderate12_baseline,top40_minx8_span2,span2,2.0,median,20,moderate12,baseline,40,8.0,12,12,1,1,5,4,9,1.5,0.0009421904881795248
median_top40_moderate12_baseline,top40_minx8_span0p5,span0p5,0.5,median,40,moderate12,baseline,40,8.0,12,12,1,1,4,7,7,1.5,0.004534443219502767
median_top40_moderate12_baseline,top40_minx8_span1,span1,1.0,median,40,moderate12,baseline,40,8.0,12,12,1,1,6,4,8,1.5,0.004578431447347005
median_top80_moderate12_baseline,top40_minx8_span0p5,span0p5,0.5,median,80,moderate12,baseline,40,8.0,12,12,1,1,4,7,7,1.5,0.004575610160827637
median_top80_moderate12_baseline,top40_minx8_span1,span1,1.0,median,80,moderate12,baseline,40,8.0,12,12,1,1,6,4,8,1.5,0.004577199618021647
none_top20_moderate12_baseline,top40_minx8_span1,span1,1.0,none,20,moderate12,baseline,40,8.0,12,12,1,1,1,5,12,1.5,0.0009287993113199869
median_top20_moderate12_baseline,top40_minx12_span1,span1,1.0,median,20,moderate12,baseline,40,12.0,12,12,1,1,6,4,8,1.5,0.0008776386578877767
none_top20_moderate12_baseline,top40_minx12_span1,span1,1.0,none,20,moderate12,baseline,40,12.0,12,12,1,1,1,5,12,1.5,0.0008759895960489908
none_top20_distinct20_baseline,top10_minx8_span0p5,span0p5,0.5,none,20,distinct20,baseline,10,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.00010877847671508789
none_top40_distinct20_baseline,top10_minx8_span0p5,span0p5,0.5,none,40,distinct20,baseline,10,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.00010963280995686849
none_top80_distinct20_baseline,top10_minx8_span0p5,span0p5,0.5,none,80,distinct20,baseline,10,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.00011028846104939778
none_top20_distinct20_baseline,top20_minx8_span0p5,span0p5,0.5,none,20,distinct20,baseline,20,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.00038609902064005536
none_top40_distinct20_baseline,top20_minx8_span0p5,span0p5,0.5,none,40,distinct20,baseline,20,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.0003896951675415039
none_top80_distinct20_baseline,top20_minx8_span0p5,span0p5,0.5,none,80,distinct20,baseline,20,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.0003904104232788086
median_top20_moderate12_baseline,top20_minx12_span2,span2,2.0,median,20,moderate12,baseline,20,12.0,12,12,1,1,5,4,8,1.4166666666666667,0.0008839170138041178
median_top40_moderate12_baseline,top20_minx12_span2,span2,2.0,median,40,moderate12,baseline,20,12.0,12,12,1,1,5,4,8,1.4166666666666667,0.0008903344472249349
median_top80_moderate12_baseline,top20_minx12_span2,span2,2.0,median,80,moderate12,baseline,20,12.0,12,12,1,1,5,4,8,1.4166666666666667,0.0008831818898518881
none_top20_moderate12_baseline,top20_minx12_span2,span2,2.0,none,20,moderate12,baseline,20,12.0,12,12,1,1,1,5,11,1.4166666666666667,0.0008739431699117025
none_top40_moderate12_baseline,top20_minx12_span2,span2,2.0,none,40,moderate12,baseline,20,12.0,12,12,1,1,1,5,11,1.4166666666666667,0.0008743405342102051
none_top80_moderate12_baseline,top20_minx12_span2,span2,2.0,none,80,moderate12,baseline,20,12.0,12,12,1,1,1,5,11,1.4166666666666667,0.000878294308980306
median_top40_moderate12_baseline,top40_minx8_span2,span2,2.0,median,40,moderate12,baseline,40,8.0,12,12,1,1,5,4,8,1.4166666666666667,0.004570941130320231
median_top80_moderate12_baseline,top40_minx8_span2,span2,2.0,median,80,moderate12,baseline,40,8.0,12,12,1,1,5,4,8,1.4166666666666667,0.004586080710093181
none_top20_distinct20_baseline,top40_minx8_span0p5,span0p5,0.5,none,20,distinct20,baseline,40,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.0003906091054280599
none_top40_distinct20_baseline,top40_minx8_span0p5,span0p5,0.5,none,40,distinct20,baseline,40,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.0003916621208190918
none_top80_distinct20_baseline,top40_minx8_span0p5,span0p5,0.5,none,80,distinct20,baseline,40,8.0,12,12,3,1,4,4,9,1.4166666666666667,0.00039011240005493164
median_top20_moderate12_baseline,top40_minx12_span2,span2,2.0,median,20,moderate12,baseline,40,12.0,12,12,1,1,5,4,8,1.4166666666666667,0.000884552796681722
median_top40_dense4_baseline,top40_minx12_span0p5,span0p5,0.5,median,40,dense4,baseline,40,12.0,12,12,1,1,3,9,5,1.4166666666666667,0.005204061667124431
median_top40_moderate12_baseline,top40_minx12_span1,span1,1.0,median,40,moderate12,baseline,40,12.0,12,12,1,1,6,4,7,1.4166666666666667,0.004325608412424724
median_top80_dense4_baseline,top40_minx12_span0p5,span0p5,0.5,median,80,dense4,baseline,40,12.0,12,12,1,1,3,9,5,1.4166666666666667,0.005238691965738933
median_top80_moderate12_baseline,top40_minx12_span1,span1,1.0,median,80,moderate12,baseline,40,12.0,12,12,1,1,6,4,7,1.4166666666666667,0.004321555296579997
none_top20_moderate12_baseline,top40_minx12_span2,span2,2.0,none,20,moderate12,baseline,40,12.0,12,12,1,1,1,5,11,1.4166666666666667,0.0008781353632609049
none_top20_moderate12_baseline,top20_minx8_span2,span2,2.0,none,20,moderate12,baseline,20,8.0,12,12,1,1,1,4,11,1.3333333333333333,0.0009370843569437662
none_top40_moderate12_baseline,top20_minx8_span2,span2,2.0,none,40,moderate12,baseline,20,8.0,12,12,1,1,1,4,11,1.3333333333333333,0.0009332497914632162
none_top80_moderate12_baseline,top20_minx8_span2,span2,2.0,none,80,moderate12,baseline,20,8.0,12,12,1,1,1,4,11,1.3333333333333333,0.0009336272875467936
median_top20_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,median,20,moderate12,baseline,20,12.0,12,12,1,1,4,7,5,1.3333333333333333,0.000879824161529541
median_top40_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,median,40,moderate12,baseline,20,12.0,12,12,1,1,4,7,5,1.3333333333333333,0.0008844534556070963
median_top80_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,median,80,moderate12,baseline,20,12.0,12,12,1,1,4,7,5,1.3333333333333333,0.000881055990854899
none_top20_moderate12_baseline,top40_minx8_span2,span2,2.0,none,20,moderate12,baseline,40,8.0,12,12,1,1,1,4,11,1.3333333333333333,0.0009340047836303711
median_top20_moderate12_baseline,top40_minx12_span0p5,span0p5,0.5,median,20,moderate12,baseline,40,12.0,12,12,1,1,4,7,5,1.3333333333333333,0.000879983107248942
median_top40_dense4_baseline,top40_minx12_span1,span1,1.0,median,40,dense4,baseline,40,12.0,12,12,1,1,3,8,5,1.3333333333333333,0.005202869574228923
median_top40_moderate12_baseline,top40_minx12_span0p5,span0p5,0.5,median,40,moderate12,baseline,40,12.0,12,12,1,1,4,7,5,1.3333333333333333,0.004293859004974365
median_top40_moderate12_baseline,top40_minx12_span2,span2,2.0,median,40,moderate12,baseline,40,12.0,12,12,1,1,5,4,7,1.3333333333333333,0.004306972026824951
median_top80_dense4_baseline,top40_minx12_span1,span1,1.0,median,80,dense4,baseline,40,12.0,12,12,1,1,3,8,5,1.3333333333333333,0.005237499872843425
median_top80_moderate12_baseline,top40_minx12_span0p5,span0p5,0.5,median,80,moderate12,baseline,40,12.0,12,12,1,1,4,7,5,1.3333333333333333,0.004324873288472493
median_top80_moderate12_baseline,top40_minx12_span2,span2,2.0,median,80,moderate12,baseline,40,12.0,12,12,1,1,5,4,7,1.3333333333333333,0.004303177197774251
median_top20_moderate12_wide,top20_minx8_span2,span2,2.0,median,20,moderate12,wide,20,8.0,12,12,1,1,5,1,9,1.25,0.0009219845136006674
median_top40_moderate12_wide,top20_minx8_span2,span2,2.0,median,40,moderate12,wide,20,8.0,12,12,1,1,5,1,9,1.25,0.0009276270866394043
median_top80_moderate12_wide,top20_minx8_span2,span2,2.0,median,80,moderate12,wide,20,8.0,12,12,1,1,5,1,9,1.25,0.0009254018465677897
median_top20_moderate12_wide,top20_minx12_span2,span2,2.0,median,20,moderate12,wide,20,12.0,12,12,1,1,5,2,8,1.25,0.000849445660909017
median_top40_moderate12_wide,top20_minx12_span2,span2,2.0,median,40,moderate12,wide,20,12.0,12,12,1,1,5,2,8,1.25,0.0008549888928731283
median_top80_moderate12_wide,top20_minx12_span2,span2,2.0,median,80,moderate12,wide,20,12.0,12,12,1,1,5,2,8,1.25,0.0008561015129089355
median_top20_moderate12_wide,top40_minx8_span2,span2,2.0,median,20,moderate12,wide,40,8.0,12,12,1,1,5,1,9,1.25,0.0009223222732543945
none_top40_moderate12_baseline,top40_minx8_span1,span1,1.0,none,40,moderate12,baseline,40,8.0,12,12,1,1,1,5,9,1.25,0.004379709561665853
none_top80_moderate12_baseline,top40_minx8_span1,span1,1.0,none,80,moderate12,baseline,40,8.0,12,12,1,1,1,5,9,1.25,0.004399855931599935
median_top20_moderate12_wide,top40_minx12_span2,span2,2.0,median,20,moderate12,wide,40,12.0,12,12,1,1,5,2,8,1.25,0.0008498032887776693
median_top40_dense4_baseline,top40_minx12_span2,span2,2.0,median,40,dense4,baseline,40,12.0,12,12,1,1,2,7,6,1.25,0.005219499270121257
median_top80_dense4_baseline,top40_minx12_span2,span2,2.0,median,80,dense4,baseline,40,12.0,12,12,1,1,2,7,6,1.25,0.00522462526957194
none_top40_moderate12_baseline,top40_minx12_span1,span1,1.0,none,40,moderate12,baseline,40,12.0,12,12,1,1,1,5,9,1.25,0.004156927267710368
none_top80_moderate12_baseline,top40_minx12_span1,span1,1.0,none,80,moderate12,baseline,40,12.0,12,12,1,1,1,5,9,1.25,0.00415116548538208
mean_top20_moderate12_wide,top20_minx8_span1,span1,1.0,mean,20,moderate12,wide,20,8.0,12,12,1,1,5,3,6,1.1666666666666667,0.0009093284606933594
mean_top20_moderate12_wide,top20_minx8_span2,span2,2.0,mean,20,moderate12,wide,20,8.0,12,12,1,1,5,2,7,1.1666666666666667,0.0009119510650634766
mean_top40_moderate12_wide,top20_minx8_span1,span1,1.0,mean,40,moderate12,wide,20,8.0,12,12,1,1,5,3,6,1.1666666666666667,0.0009181698163350424
mean_top40_moderate12_wide,top20_minx8_span2,span2,2.0,mean,40,moderate12,wide,20,8.0,12,12,1,1,5,2,7,1.1666666666666667,0.0009195804595947266
mean_top80_moderate12_wide,top20_minx8_span1,span1,1.0,mean,80,moderate12,wide,20,8.0,12,12,1,1,5,3,6,1.1666666666666667,0.0009175539016723633
mean_top80_moderate12_wide,top20_minx8_span2,span2,2.0,mean,80,moderate12,wide,20,8.0,12,12,1,1,5,2,7,1.1666666666666667,0.0009192625681559244
mean_top20_moderate12_wide,top20_minx12_span1,span1,1.0,mean,20,moderate12,wide,20,12.0,12,12,1,1,5,3,6,1.1666666666666667,0.0008425116539001465
mean_top20_moderate12_wide,top20_minx12_span2,span2,2.0,mean,20,moderate12,wide,20,12.0,12,12,1,1,5,2,7,1.1666666666666667,0.0008437236150105795
mean_top40_moderate12_wide,top20_minx12_span1,span1,1.0,mean,40,moderate12,wide,20,12.0,12,12,1,1,5,3,6,1.1666666666666667,0.0008470614751180013
mean_top40_moderate12_wide,top20_minx12_span2,span2,2.0,mean,40,moderate12,wide,20,12.0,12,12,1,1,5,2,7,1.1666666666666667,0.0008470416069030762
mean_top80_moderate12_wide,top20_minx12_span1,span1,1.0,mean,80,moderate12,wide,20,12.0,12,12,1,1,5,3,6,1.1666666666666667,0.0008473992347717285
mean_top80_moderate12_wide,top20_minx12_span2,span2,2.0,mean,80,moderate12,wide,20,12.0,12,12,1,1,5,2,7,1.1666666666666667,0.0008483131726582845
mean_top20_moderate12_wide,top40_minx8_span1,span1,1.0,mean,20,moderate12,wide,40,8.0,12,12,1,1,5,3,6,1.1666666666666667,0.0009057720502217611
mean_top20_moderate12_wide,top40_minx8_span2,span2,2.0,mean,20,moderate12,wide,40,8.0,12,12,1,1,5,2,7,1.1666666666666667,0.0009099642435709635
mean_top40_moderate12_wide,top40_minx8_span1,span1,1.0,mean,40,moderate12,wide,40,8.0,12,12,1,1,5,3,6,1.1666666666666667,0.003985424836476644
mean_top80_moderate12_wide,top40_minx8_span1,span1,1.0,mean,80,moderate12,wide,40,8.0,12,12,1,1,5,3,6,1.1666666666666667,0.004008273283640544
mean_top20_moderate12_wide,top40_minx12_span1,span1,1.0,mean,20,moderate12,wide,40,12.0,12,12,1,1,5,3,6,1.1666666666666667,0.0008410414059956869
mean_top20_moderate12_wide,top40_minx12_span2,span2,2.0,mean,20,moderate12,wide,40,12.0,12,12,1,1,5,2,7,1.1666666666666667,0.0008430282274881998
mean_top40_dense4_baseline,top40_minx12_span1,span1,1.0,mean,40,dense4,baseline,40,12.0,12,12,1,1,3,7,4,1.1666666666666667,0.005076309045155843
mean_top40_moderate12_wide,top40_minx12_span1,span1,1.0,mean,40,moderate12,wide,40,12.0,12,12,1,1,5,3,6,1.1666666666666667,0.003751655419667562
mean_top80_dense4_baseline,top40_minx12_span1,span1,1.0,mean,80,dense4,baseline,40,12.0,12,12,1,1,3,7,4,1.1666666666666667,0.005073249340057373
mean_top80_moderate12_wide,top40_minx12_span1,span1,1.0,mean,80,moderate12,wide,40,12.0,12,12,1,1,5,3,6,1.1666666666666667,0.003756543000539144
median_top40_dense4_baseline,top40_minx20_span1,span1,1.0,median,40,dense4,baseline,40,20.0,12,11,1,1,3,6,5,1.1666666666666667,0.004621684551239014
median_top80_dense4_baseline,top40_minx20_span1,span1,1.0,median,80,dense4,baseline,40,20.0,12,11,1,1,3,6,5,1.1666666666666667,0.004628777503967285
median_top20_moderate12_wide,top20_minx8_span1,span1,1.0,median,20,moderate12,wide,20,8.0,12,12,1,1,3,3,7,1.0833333333333333,0.0009157458941141764
median_top40_moderate12_wide,top20_minx8_span1,span1,1.0,median,40,moderate12,wide,20,8.0,12,12,1,1,3,3,7,1.0833333333333333,0.0009287595748901367
median_top80_moderate12_wide,top20_minx8_span1,span1,1.0,median,80,moderate12,wide,20,8.0,12,12,1,1,3,3,7,1.0833333333333333,0.0009300510088602701
median_top20_moderate12_wide,top20_minx12_span1,span1,1.0,median,20,moderate12,wide,20,12.0,12,12,1,1,3,4,6,1.0833333333333333,0.000847021738688151
median_top40_moderate12_wide,top20_minx12_span1,span1,1.0,median,40,moderate12,wide,20,12.0,12,12,1,1,3,4,6,1.0833333333333333,0.0008555253346761068
median_top80_moderate12_wide,top20_minx12_span1,span1,1.0,median,80,moderate12,wide,20,12.0,12,12,1,1,3,4,6,1.0833333333333333,0.0008513728777567545
median_top20_moderate12_wide,top40_minx8_span1,span1,1.0,median,20,moderate12,wide,40,8.0,12,12,1,1,3,3,7,1.0833333333333333,0.0009189844131469727
mean_top40_dense4_baseline,top40_minx12_span0p5,span0p5,0.5,mean,40,dense4,baseline,40,12.0,12,12,1,1,3,6,4,1.0833333333333333,0.0050651828447977705
mean_top80_dense4_baseline,top40_minx12_span0p5,span0p5,0.5,mean,80,dense4,baseline,40,12.0,12,12,1,1,3,6,4,1.0833333333333333,0.005080362161000569
median_top20_moderate12_wide,top40_minx12_span1,span1,1.0,median,20,moderate12,wide,40,12.0,12,12,1,1,3,4,6,1.0833333333333333,0.0008505781491597494
median_top40_dense4_baseline,top40_minx20_span2,span2,2.0,median,40,dense4,baseline,40,20.0,12,11,1,1,2,7,4,1.0833333333333333,0.00462035338083903
median_top80_dense4_baseline,top40_minx20_span2,span2,2.0,median,80,dense4,baseline,40,20.0,12,11,1,1,2,7,4,1.0833333333333333,0.004619280497233073
median_top40_moderate12_wide,top40_minx8_span1,span1,1.0,median,40,moderate12,wide,40,8.0,12,12,1,1,2,3,7,1.0,0.004362444082895915
median_top80_moderate12_wide,top40_minx8_span1,span1,1.0,median,80,moderate12,wide,40,8.0,12,12,1,1,2,3,7,1.0,0.004351218541463216
median_top40_moderate12_wide,top40_minx12_span1,span1,1.0,median,40,moderate12,wide,40,12.0,12,12,1,1,2,4,6,1.0,0.004094680150349935
median_top80_moderate12_wide,top40_minx12_span1,span1,1.0,median,80,moderate12,wide,40,12.0,12,12,1,1,2,4,6,1.0,0.004094362258911133
median_top40_dense4_baseline,top40_minx20,score,0.0,median,40,dense4,baseline,40,20.0,12,11,1,1,1,4,7,1.0,0.0045283834139506025
median_top40_dense4_baseline,top40_minx20_span0p5,span0p5,0.5,median,40,dense4,baseline,40,20.0,12,11,1,1,3,3,6,1.0,0.004619499047597249
median_top80_dense4_baseline,top40_minx20,score,0.0,median,80,dense4,baseline,40,20.0,12,11,1,1,1,4,7,1.0,0.0045485297838846845
median_top80_dense4_baseline,top40_minx20_span0p5,span0p5,0.5,median,80,dense4,baseline,40,20.0,12,11,1,1,3,3,6,1.0,0.00461884339650472
none_top20_moderate12_single667,top10_minx8_span2,span2,2.0,none,20,moderate12,single667,10,8.0,12,12,1,1,3,4,4,0.9166666666666666,0.00010907649993896484
none_top40_moderate12_single667,top10_minx8_span2,span2,2.0,none,40,moderate12,single667,10,8.0,12,12,1,1,3,4,4,0.9166666666666666,0.0001076658566792806
none_top80_moderate12_single667,top10_minx8_span2,span2,2.0,none,80,moderate12,single667,10,8.0,12,12,1,1,3,4,4,0.9166666666666666,0.00010728836059570312
none_top20_moderate12_single667,top10_minx12_span2,span2,2.0,none,20,moderate12,single667,10,12.0,12,12,1,1,3,4,4,0.9166666666666666,0.00010101000467936198
none_top40_moderate12_single667,top10_minx12_span2,span2,2.0,none,40,moderate12,single667,10,12.0,12,12,1,1,3,4,4,0.9166666666666666,0.00010053316752115886
none_top80_moderate12_single667,top10_minx12_span2,span2,2.0,none,80,moderate12,single667,10,12.0,12,12,1,1,3,4,4,0.9166666666666666,9.995698928833008e-05
none_top20_moderate12_single667,top20_minx8_span0p5,span0p5,0.5,none,20,moderate12,single667,20,8.0,12,12,1,1,3,5,3,0.9166666666666666,0.00094376007715861
none_top40_moderate12_single667,top20_minx8_span0p5,span0p5,0.5,none,40,moderate12,single667,20,8.0,12,12,1,1,3,5,3,0.9166666666666666,0.0009557406107584635
none_top80_moderate12_single667,top20_minx8_span0p5,span0p5,0.5,none,80,moderate12,single667,20,8.0,12,12,1,1,3,5,3,0.9166666666666666,0.000952760378519694
none_top20_moderate12_single667,top20_minx12_span0p5,span0p5,0.5,none,20,moderate12,single667,20,12.0,12,12,1,1,3,5,3,0.9166666666666666,0.0008830428123474121
none_top40_moderate12_single667,top20_minx12_span0p5,span0p5,0.5,none,40,moderate12,single667,20,12.0,12,12,1,1,3,5,3,0.9166666666666666,0.0008880098660786947
none_top80_moderate12_single667,top20_minx12_span0p5,span0p5,0.5,none,80,moderate12,single667,20,12.0,12,12,1,1,3,5,3,0.9166666666666666,0.0008916258811950684
median_top40_moderate12_wide,top40_minx8_span2,span2,2.0,median,40,moderate12,wide,40,8.0,12,12,1,1,3,1,7,0.9166666666666666,0.004382610321044922
median_top80_moderate12_wide,top40_minx8_span2,span2,2.0,median,80,moderate12,wide,40,8.0,12,12,1,1,3,1,7,0.9166666666666666,0.004367252190907796
none_top20_moderate12_single667,top40_minx8_span0p5,span0p5,0.5,none,20,moderate12,single667,40,8.0,12,12,1,1,3,5,3,0.9166666666666666,0.0009477138519287109
none_top40_moderate12_single667,top40_minx8_span0p5,span0p5,0.5,none,40,moderate12,single667,40,8.0,12,12,1,1,3,5,3,0.9166666666666666,0.00494837760925293
