experiment_id	path	size_bytes	file_count	has_run_manifest	data_file_count	figure_file_count	figure_notes_count	latest_mtime_utc
48	outputs/experiments/048_trace_wasserstein_convexity_smoke	133848	4	True	2	1	0	2026-05-29T05:28:15.073733+00:00
49	outputs/experiments/049_frequency_weight_radius_margin_noise05_seed13	143900	4	True	2	1	0	2026-05-29T05:44:08.731578+00:00
50	outputs/experiments/050_w2_landscape_exact_beta8_ds16	108336	4	True	2	1	0	2026-05-29T05:50:58.962121+00:00
51	outputs/experiments/051_w2_landscape_exact_beta8_ds8	108587	4	True	2	1	0	2026-05-29T05:57:14.268618+00:00
52	outputs/experiments/052_wavelet_mismatch_radius_exact	26565414	26	True	13	12	1	2026-06-11T00:56:04.304058+00:00
53	outputs/experiments/053_wavelet_mismatch_radius_amplitude_fit	4839018	10	True	5	4	1	2026-06-11T00:56:03.807138+00:00
54	outputs/experiments/054_wavelet_mismatch_radius_amp_timefit	6942202	12	True	6	5	1	2026-06-11T00:56:03.556584+00:00
55	outputs/experiments/055_wavelet_mismatch_radius_amp_time_freqfit	9029826	14	True	7	6	1	2026-06-11T00:56:03.181456+00:00
56	outputs/experiments/056_material_tradeoff_fixed_xz_exact	4760290	10	True	5	4	1	2026-06-11T00:56:02.683873+00:00
57	outputs/experiments/057_source_profiled_polish_nominal_smoke	6756072	10	True	5	4	1	2026-06-11T00:56:02.433475+00:00
58	outputs/experiments/058_source_profiled_polish_combined_mismatch	8872247	12	True	6	5	1	2026-06-11T00:56:02.308105+00:00
59	outputs/experiments/059_source_profiled_replication_compact	8962387	13	True	7	5	1	2026-06-11T00:56:02.059399+00:00
60	outputs/experiments/060_source_profiled_replication_seed_matrix	9230471	13	True	7	5	1	2026-06-11T00:56:01.812848+00:00
61	outputs/experiments/061_source_profiled_geometry_window_exact_mismatch	10527166	15	True	8	6	1	2026-06-11T00:56:01.564537+00:00
62	outputs/experiments/062_source_profiled_geometry_window_noise10	10510762	15	True	8	6	1	2026-06-11T00:56:01.315821+00:00
63	outputs/experiments/063_multi_rebar_common_radius_profile	153679	5	True	3	1	0	2026-05-29T11:22:04.811059+00:00
64	outputs/experiments/064_multi_rebar_center_radius_profile	163003	5	True	3	1	0	2026-05-29T11:27:55.530472+00:00
65	outputs/experiments/065_multi_rebar_left_radius_profile	161816	5	True	3	1	0	2026-05-29T11:32:17.679328+00:00
66	outputs/experiments/066_multi_rebar_right_radius_profile	161416	5	True	3	1	0	2026-05-29T11:36:00.386837+00:00
67	outputs/experiments/067_multi_rebar_left_local_geometry_noise10	241216	5	True	3	1	0	2026-05-29T13:00:35.852576+00:00
68	outputs/experiments/068_multi_rebar_center_local_geometry_noise10	242755	5	True	3	1	0	2026-05-29T14:26:55.099757+00:00
69	outputs/experiments/069_multi_rebar_right_local_geometry_noise10	238332	5	True	3	1	0	2026-05-29T15:55:01.877787+00:00
70	outputs/experiments/070_multi_rebar_stage4c_confidence_report	128430	4	True	2	1	0	2026-05-29T15:59:29.735944+00:00
71	outputs/experiments/071_multi_rebar_left_local_geometry_noise10_seed21	240369	5	True	3	1	0	2026-05-29T17:28:15.570871+00:00
72	outputs/experiments/072_multi_rebar_left_seed_confidence_report	114964	4	True	2	1	0	2026-05-29T17:28:38.949554+00:00
73	outputs/experiments/073_multi_rebar_left_local_geometry_noise10_seeds34_55	418831	5	True	3	1	0	2026-05-29T18:57:40.715421+00:00
74	outputs/experiments/074_multi_rebar_left_seed13_21_34_55_confidence_report	150453	4	True	2	1	0	2026-05-29T18:58:02.306992+00:00
75	outputs/experiments/075_multi_rebar_center_local_geometry_noise10_seeds21_34_55	595060	5	True	3	1	0	2026-05-29T20:27:02.741768+00:00
76	outputs/experiments/076_multi_rebar_center_seed13_21_34_55_confidence_report	135451	4	True	2	1	0	2026-05-29T20:29:34.056449+00:00
77	outputs/experiments/077_multi_rebar_right_local_geometry_noise10_seeds21_34_55	589468	5	True	3	1	0	2026-05-29T21:58:58.036763+00:00
78	outputs/experiments/078_multi_rebar_right_seed13_21_34_55_confidence_report	138670	4	True	2	1	0	2026-05-29T21:59:30.602055+00:00
79	outputs/experiments/079_multi_rebar_stage6_all_targets_confidence_report	305365	4	True	2	1	0	2026-05-29T22:00:29.923955+00:00
80	outputs/experiments/080_multi_rebar_stage7_ambiguity_interval_report	315997	4	True	2	1	0	2026-05-29T22:02:41.037512+00:00
81	outputs/experiments/081_coordinate_optimizer_cpu_smoke	350065	9	True	5	3	1	2026-06-10T23:54:49.708180+00:00
82	outputs/experiments/082_coordinate_optimizer_gpu_compact_perturbed_seed	482668	11	True	7	3	1	2026-06-10T23:54:47.222425+00:00
83	outputs/experiments/083_coordinate_optimizer_noise10_seed13	635836	11	True	7	3	1	2026-06-10T23:54:44.734745+00:00
84	outputs/experiments/084_coordinate_optimizer_noise10_seed21	630778	11	True	7	3	1	2026-06-10T23:54:42.233734+00:00
85	outputs/experiments/085_coordinate_optimizer_noise_seed13_21_aggregate	145392	4	True	2	1	0	2026-05-30T00:22:24.069124+00:00
86	outputs/experiments/086_coordinate_optimizer_noise10_seed34	617593	11	True	7	3	1	2026-06-10T23:54:39.740731+00:00
87	outputs/experiments/087_coordinate_optimizer_noise_seed13_21_34_aggregate	172157	4	True	2	1	0	2026-05-30T00:45:34.497972+00:00
88	outputs/experiments/088_coordinate_optimizer_noise10_seed55	633079	11	True	7	3	1	2026-06-10T23:54:37.242971+00:00
89	outputs/experiments/089_coordinate_optimizer_noise_seed13_21_34_55_aggregate	202207	4	True	2	1	0	2026-05-30T01:08:34.154918+00:00
90	outputs/experiments/090_coordinate_optimizer_seed_offset2mm_noise10_seed13	733231	11	True	7	3	1	2026-06-10T23:54:34.744717+00:00
91	outputs/experiments/091_coordinate_optimizer_seed_offset2mm_target0_revisit_seed13	556421	9	True	5	3	1	2026-06-10T23:54:32.183928+00:00
92	outputs/experiments/092_coordinate_optimizer_seed_offset2mm_order120_noise10_seed13	734988	11	True	7	3	1	2026-06-10T23:54:29.687368+00:00
93	outputs/experiments/093_coordinate_optimizer_seed_offset2mm_target2_revisit_seed13	556018	9	True	5	3	1	2026-06-10T23:54:27.193841+00:00
94	outputs/experiments/094_coordinate_optimizer_seed_offset2mm_guarded_revisit_seed13	788154	12	True	8	3	1	2026-06-10T23:54:24.675666+00:00
95	outputs/experiments/095_coordinate_optimizer_seed_offset2mm_guarded_revisit_seed21	791427	12	True	8	3	1	2026-06-10T23:54:22.172490+00:00
96	outputs/experiments/096_coordinate_optimizer_seed_offset2mm_guarded_seed13_21_aggregate	174578	4	True	2	1	0	2026-05-30T08:51:48.187776+00:00
97	outputs/experiments/097_coordinate_optimizer_seed_offset2mm_guarded_revisit_seed34	778492	12	True	8	3	1	2026-06-10T23:54:19.677237+00:00
98	outputs/experiments/098_coordinate_optimizer_seed_offset2mm_guarded_seed13_21_34_aggregate	215113	4	True	2	1	0	2026-05-30T10:46:17.762860+00:00
