file,channel,samples,traces,profile_length_m,scan_spacing_m,time_range_ns,dielectric,approx_depth_range_m,dzx_present,warnings,corrected_abs_p99,envelope_p99,cue_p99,early_rms_0p55_1p60ns,mid_rms_1p60_3p40ns,late_rms_gt3p40ns,early_to_mid_rms_ratio,trace_rms_min,trace_rms_max,time_rms_peak_ns,candidate_count,candidate_time_min_ns,candidate_time_max_ns,unique_candidate_x_count,median_candidate_spacing_m
PROJECT001C__013.DZT,0,510,807,2.686398,0.003333,5.0,2.25,0.49965409666666666,True,,5270346.879999999,6841838.655216404,4.731311514215344,2347053.5061754305,678957.5709456839,204265.8915756253,3.4568485669971167,194956.06433901167,2227687.0577249117,1.0609037328094302,4,2.6915520628683693,2.7701375245579567,4,0.8932440000000001
PROJECT001C__014.DZT,0,510,274,0.909909,0.003333,5.0,2.25,0.49965409666666666,True,,3624372.4799999893,4889656.179432578,13.48419589267469,1467125.6032885425,338497.47742035374,152476.5108783294,4.334229059753474,107883.04774599533,1539140.864313279,1.0117878192534382,3,0.6974459724950884,0.7072691552062869,3,0.2816385
PROJECT001C__015.DZT,0,510,814,2.709729,0.003333,5.0,2.25,0.49965409666666666,True,,5278101.119999997,6603661.90465791,5.653130661412878,2392379.591419227,635218.4678370575,194648.66206936556,3.7662311669957713,189546.42891661962,2290957.3941365555,1.0117878192534382,6,1.650294695481336,2.7210216110019645,6,0.59994
PROJECT001C__016.DZT,0,510,274,0.909909,0.003333,5.0,2.25,0.49965409666666666,True,,3413344.0,4640656.1822807165,13.311479574768537,1375463.3778602197,368266.31707517453,130223.52362770107,3.734969271108889,78788.51973464453,1411328.5091550958,1.1296660117878192,6,0.7269155206286837,0.9921414538310412,3,0.29663700000000004
