branch_key,case_count,selected_all_truth_case_count,failed_selector_case_count,single_target_missing_case_count,multi_target_missing_case_count,missing_target0_case_count,missing_target1_case_count,missing_target2_case_count,dominant_missing_target,median_required_selector_gain_to_choose_truth,max_required_selector_gain_to_choose_truth
target2_close14,6,2,4,3,1,1,3,1,target1,0.1291739872606571,0.18097749906867877
target2_close50_linear29p5,6,1,5,1,4,4,4,2,target1,0.3372921668568104,0.5505405776977454
