run,slug,path,reference_file_count,reference_files,safe_move_requirement
570,commit_pr_summary_refresh,outputs/experiments/570_commit_pr_summary_refresh,3,docs/experiments/103_commit_pr_summary_refresh.md|outputs/experiments/570_commit_pr_summary_refresh/run_manifest.json|outputs/experiments/572_commit_pr_summary_post_hardening/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
572,commit_pr_summary_post_hardening,outputs/experiments/572_commit_pr_summary_post_hardening,11,docs/experiments/105_commit_pr_summary_post_hardening.md|outputs/experiments/577_commit_pr_summary_current_refresh/run_manifest.json|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/next_action_queue.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/README.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/run_manifest.json|outputs/experiments/574_next_action_queue_post_hardening/next_action_queue.md|outputs/experiments/574_next_action_queue_post_hardening/README.md|outputs/experiments/574_next_action_queue_post_hardening/run_manifest.json|outputs/experiments/572_commit_pr_summary_post_hardening/run_manifest.json|outputs/experiments/573_post_hardening_resume_checkpoint/README.md|outputs/experiments/573_post_hardening_resume_checkpoint/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
573,post_hardening_resume_checkpoint,outputs/experiments/573_post_hardening_resume_checkpoint,13,docs/experiments/106_post_hardening_resume_checkpoint.md|outputs/experiments/577_commit_pr_summary_current_refresh/commit_pr_summary_current_refresh.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/README.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/run_manifest.json|outputs/experiments/574_next_action_queue_post_hardening/README.md|outputs/experiments/574_next_action_queue_post_hardening/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/commit_pr_summary_sparse_hardening_refresh.md|outputs/experiments/575_imrad_manuscript_validation_refresh/run_manifest.json|outputs/experiments/573_post_hardening_resume_checkpoint/run_manifest.json|outputs/experiments/578_next_action_queue_commit_summary_refresh/run_manifest.json|outputs/experiments/580_current_handoff_archive/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_size_audit.json,move directory then create compatibility symlink at original outputs/experiments path
574,next_action_queue_post_hardening,outputs/experiments/574_next_action_queue_post_hardening,3,docs/experiments/107_next_action_queue_post_hardening.md|docs/experiments/109_next_action_queue_manuscript_validation_refresh.md|outputs/experiments/574_next_action_queue_post_hardening/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
576,next_action_queue_manuscript_validation_refresh,outputs/experiments/576_next_action_queue_manuscript_validation_refresh,4,docs/experiments/109_next_action_queue_manuscript_validation_refresh.md|docs/experiments/111_next_action_queue_commit_summary_refresh.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/run_manifest.json|outputs/experiments/578_next_action_queue_commit_summary_refresh/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
577,commit_pr_summary_current_refresh,outputs/experiments/577_commit_pr_summary_current_refresh,18,docs/experiments/110_commit_pr_summary_current_refresh.md|outputs/experiments/577_commit_pr_summary_current_refresh/commit_pr_summary_current_refresh.md|outputs/experiments/577_commit_pr_summary_current_refresh/run_manifest.json|outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh/next_action_queue.md|outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh/run_manifest.json|outputs/experiments/583_next_action_queue_precommit_validation_refresh/next_action_queue.md|outputs/experiments/583_next_action_queue_precommit_validation_refresh/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/run_manifest.json|outputs/experiments/575_imrad_manuscript_validation_refresh/run_manifest.json|outputs/experiments/582_current_precommit_validation_checkpoint/run_manifest.json|outputs/experiments/578_next_action_queue_commit_summary_refresh/next_action_queue.md|outputs/experiments/578_next_action_queue_commit_summary_refresh/README.md|outputs/experiments/578_next_action_queue_commit_summary_refresh/run_manifest.json|outputs/experiments/581_next_action_queue_current_archive_refresh/next_action_queue.md|outputs/experiments/581_next_action_queue_current_archive_refresh/run_manifest.json|outputs/experiments/580_current_handoff_archive/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_size_audit.json,move directory then create compatibility symlink at original outputs/experiments path
578,next_action_queue_commit_summary_refresh,outputs/experiments/578_next_action_queue_commit_summary_refresh,8,docs/experiments/111_next_action_queue_commit_summary_refresh.md|docs/experiments/114_next_action_queue_current_archive_refresh.md|outputs/experiments/579_current_handoff_archive_size_audit/run_manifest.json|outputs/experiments/578_next_action_queue_commit_summary_refresh/run_manifest.json|outputs/experiments/581_next_action_queue_current_archive_refresh/run_manifest.json|outputs/experiments/580_current_handoff_archive/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_size_audit.json,move directory then create compatibility symlink at original outputs/experiments path
579,current_handoff_archive_size_audit,outputs/experiments/579_current_handoff_archive_size_audit,5,docs/experiments/112_current_handoff_archive_size_audit.md|outputs/experiments/579_current_handoff_archive_size_audit/run_manifest.json|outputs/experiments/580_current_handoff_archive/run_manifest.json|outputs/experiments/580_current_handoff_archive/data/current_handoff_archive.json|outputs/experiments/580_current_handoff_archive/data/current_handoff_archive_file_list.txt,move directory then create compatibility symlink at original outputs/experiments path
580,current_handoff_archive,outputs/experiments/580_current_handoff_archive,59,docs/experiments/113_current_handoff_archive.md|outputs/experiments/577_commit_pr_summary_current_refresh/commit_pr_summary_current_refresh.md|outputs/experiments/577_commit_pr_summary_current_refresh/run_manifest.json|outputs/experiments/607_commit_pr_summary_current_nonfinite_hardening_refresh/commit_pr_summary_current_nonfinite_hardening_refresh.md|outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh/next_action_queue.md|outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh/README.md|outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh/run_manifest.json|outputs/experiments/583_next_action_queue_precommit_validation_refresh/next_action_queue.md|outputs/experiments/583_next_action_queue_precommit_validation_refresh/README.md|outputs/experiments/583_next_action_queue_precommit_validation_refresh/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/commit_pr_summary_sparse_hardening_refresh.md|outputs/experiments/596_commit_pr_summary_current_archive_refresh/commit_pr_summary_current_archive_refresh.md|outputs/experiments/613_commit_pr_summary_current_smoke_audit_refresh/commit_pr_summary_current_smoke_audit_refresh.md|outputs/experiments/580_current_handoff_archive/README.md|outputs/experiments/580_current_handoff_archive/run_manifest.json|outputs/experiments/594_current_handoff_archive_refresh_size_audit/run_manifest.json|outputs/experiments/593_next_action_queue_current_manuscript_validation_refresh/next_action_queue.md|outputs/experiments/593_next_action_queue_current_manuscript_validation_refresh/README.md|outputs/experiments/593_next_action_queue_current_manuscript_validation_refresh/run_manifest.json|outputs/experiments/589_next_action_queue_post_sparse_hardening_resume_refresh/next_action_queue.md|outputs/experiments/589_next_action_queue_post_sparse_hardening_resume_refresh/README.md|outputs/experiments/589_next_action_queue_post_sparse_hardening_resume_refresh/run_manifest.json|outputs/experiments/587_next_action_queue_commit_summary_sparse_hardening_refresh/next_action_queue.md|outputs/experiments/587_next_action_queue_commit_summary_sparse_hardening_refresh/README.md|outputs/experiments/587_next_action_queue_commit_summary_sparse_hardening_refresh/run_manifest.json|outputs/experiments/590_current_artifact_consistency_audit/run_manifest.json|outputs/experiments/588_post_sparse_hardening_resume_checkpoint/README.md|outputs/experiments/588_post_sparse_hardening_resume_checkpoint/run_manifest.json|outputs/experiments/581_next_action_queue_current_archive_refresh/next_action_queue.md|outputs/experiments/581_next_action_queue_current_archive_refresh/README.md|outputs/experiments/581_next_action_queue_current_archive_refresh/run_manifest.json|outputs/experiments/603_commit_pr_summary_current_diagnostic_hardening_refresh/commit_pr_summary_current_diagnostic_hardening_refresh.md|outputs/experiments/617_commit_pr_summary_current_archive_smoke_audit_refresh/commit_pr_summary_current_archive_smoke_audit_refresh.md|outputs/experiments/600_commit_pr_summary_current_validation_refresh/commit_pr_summary_current_validation_refresh.md|outputs/experiments/592_commit_pr_summary_current_manuscript_validation_refresh/run_manifest.json|outputs/experiments/592_commit_pr_summary_current_manuscript_validation_refresh/commit_pr_summary_current_manuscript_validation_refresh.md|outputs/experiments/722_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/654_current_state_archive_coverage_audit/data/current_state_archive_file_list.txt|outputs/experiments/584_objective_confidence_sparse_result_hardening/data/objective_confidence_sparse_result_hardening.json|outputs/experiments/615_current_smoke_audit_archive_size_audit/data/current_smoke_audit_archive_file_list.txt|outputs/experiments/615_current_smoke_audit_archive_size_audit/data/current_smoke_audit_archive_size_audit.json|outputs/experiments/632_current_resume_archive_size_audit/data/current_resume_archive_file_list.txt|outputs/experiments/632_current_resume_archive_size_audit/data/current_resume_archive_size_audit.json|outputs/experiments/588_post_sparse_hardening_resume_checkpoint/data/post_sparse_hardening_resume_checkpoint.json|outputs/experiments/590_current_artifact_consistency_audit/data/current_artifact_consistency_audit.json|outputs/experiments/594_current_handoff_archive_refresh_size_audit/data/current_handoff_archive_refresh_file_list.txt|outputs/experiments/594_current_handoff_archive_refresh_size_audit/data/current_handoff_archive_refresh_size_audit.json|outputs/experiments/682_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/580_current_handoff_archive/data/current_handoff_archive.json|outputs/experiments/623_current_handoff_archive_manuscript_refresh/data/current_handoff_archive_manuscript_refresh_file_list.txt|outputs/experiments/616_current_handoff_archive_smoke_audit_refresh/data/current_handoff_archive_smoke_audit_refresh_file_list.txt|outputs/experiments/622_current_manuscript_archive_size_audit/data/current_manuscript_archive_file_list.txt|outputs/experiments/622_current_manuscript_archive_size_audit/data/current_manuscript_archive_size_audit.json|outputs/experiments/710_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/595_current_handoff_archive_refresh/data/current_handoff_archive_refresh_file_list.txt|outputs/experiments/595_current_handoff_archive_refresh/data/current_handoff_archive_refresh.json|outputs/experiments/734_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/633_current_handoff_archive_resume_refresh/data/current_handoff_archive_resume_refresh_file_list.txt,move directory then create compatibility symlink at original outputs/experiments path
581,next_action_queue_current_archive_refresh,outputs/experiments/581_next_action_queue_current_archive_refresh,8,docs/experiments/116_next_action_queue_precommit_validation_refresh.md|docs/experiments/114_next_action_queue_current_archive_refresh.md|outputs/experiments/577_commit_pr_summary_current_refresh/commit_pr_summary_current_refresh.md|outputs/experiments/577_commit_pr_summary_current_refresh/run_manifest.json|outputs/experiments/583_next_action_queue_precommit_validation_refresh/run_manifest.json|outputs/experiments/575_imrad_manuscript_validation_refresh/run_manifest.json|outputs/experiments/582_current_precommit_validation_checkpoint/run_manifest.json|outputs/experiments/581_next_action_queue_current_archive_refresh/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
582,current_precommit_validation_checkpoint,outputs/experiments/582_current_precommit_validation_checkpoint,10,docs/experiments/115_current_precommit_validation_checkpoint.md|docs/experiments/110_commit_pr_summary_current_refresh.md|outputs/experiments/577_commit_pr_summary_current_refresh/README.md|outputs/experiments/577_commit_pr_summary_current_refresh/commit_pr_summary_current_refresh.md|outputs/experiments/577_commit_pr_summary_current_refresh/run_manifest.json|outputs/experiments/583_next_action_queue_precommit_validation_refresh/next_action_queue.md|outputs/experiments/583_next_action_queue_precommit_validation_refresh/README.md|outputs/experiments/583_next_action_queue_precommit_validation_refresh/run_manifest.json|outputs/experiments/582_current_precommit_validation_checkpoint/run_manifest.json|outputs/experiments/584_objective_confidence_sparse_result_hardening/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
583,next_action_queue_precommit_validation_refresh,outputs/experiments/583_next_action_queue_precommit_validation_refresh,4,docs/experiments/116_next_action_queue_precommit_validation_refresh.md|outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh/run_manifest.json|outputs/experiments/583_next_action_queue_precommit_validation_refresh/run_manifest.json|outputs/experiments/584_objective_confidence_sparse_result_hardening/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
585,next_action_queue_objective_sparse_hardening_refresh,outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh,24,docs/experiments/118_next_action_queue_objective_sparse_hardening_refresh.md|outputs/experiments/585_next_action_queue_objective_sparse_hardening_refresh/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/README.md|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/commit_pr_summary_sparse_hardening_refresh.md|outputs/experiments/587_next_action_queue_commit_summary_sparse_hardening_refresh/run_manifest.json|outputs/experiments/590_current_artifact_consistency_audit/run_manifest.json|outputs/experiments/722_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/654_current_state_archive_coverage_audit/data/current_state_archive_file_list.txt|outputs/experiments/615_current_smoke_audit_archive_size_audit/data/current_smoke_audit_archive_file_list.txt|outputs/experiments/615_current_smoke_audit_archive_size_audit/data/current_smoke_audit_archive_size_audit.json|outputs/experiments/632_current_resume_archive_size_audit/data/current_resume_archive_file_list.txt|outputs/experiments/632_current_resume_archive_size_audit/data/current_resume_archive_size_audit.json|outputs/experiments/594_current_handoff_archive_refresh_size_audit/data/current_handoff_archive_refresh_file_list.txt|outputs/experiments/594_current_handoff_archive_refresh_size_audit/data/current_handoff_archive_refresh_size_audit.json|outputs/experiments/682_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/623_current_handoff_archive_manuscript_refresh/data/current_handoff_archive_manuscript_refresh_file_list.txt|outputs/experiments/616_current_handoff_archive_smoke_audit_refresh/data/current_handoff_archive_smoke_audit_refresh_file_list.txt|outputs/experiments/622_current_manuscript_archive_size_audit/data/current_manuscript_archive_file_list.txt|outputs/experiments/622_current_manuscript_archive_size_audit/data/current_manuscript_archive_size_audit.json|outputs/experiments/710_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/595_current_handoff_archive_refresh/data/current_handoff_archive_refresh_file_list.txt|outputs/experiments/734_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/633_current_handoff_archive_resume_refresh/data/current_handoff_archive_resume_refresh_file_list.txt,move directory then create compatibility symlink at original outputs/experiments path
586,commit_pr_summary_sparse_hardening_refresh,outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh,33,docs/experiments/119_commit_pr_summary_sparse_hardening_refresh.md|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/commit_pr_summary_sparse_hardening_refresh.md|outputs/experiments/591_imrad_manuscript_current_validation_refresh/README.md|outputs/experiments/591_imrad_manuscript_current_validation_refresh/run_manifest.json|outputs/experiments/589_next_action_queue_post_sparse_hardening_resume_refresh/next_action_queue.md|outputs/experiments/589_next_action_queue_post_sparse_hardening_resume_refresh/README.md|outputs/experiments/589_next_action_queue_post_sparse_hardening_resume_refresh/run_manifest.json|outputs/experiments/587_next_action_queue_commit_summary_sparse_hardening_refresh/next_action_queue.md|outputs/experiments/587_next_action_queue_commit_summary_sparse_hardening_refresh/README.md|outputs/experiments/587_next_action_queue_commit_summary_sparse_hardening_refresh/run_manifest.json|outputs/experiments/590_current_artifact_consistency_audit/run_manifest.json|outputs/experiments/588_post_sparse_hardening_resume_checkpoint/README.md|outputs/experiments/588_post_sparse_hardening_resume_checkpoint/run_manifest.json|outputs/experiments/592_commit_pr_summary_current_manuscript_validation_refresh/run_manifest.json|outputs/experiments/722_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/654_current_state_archive_coverage_audit/data/current_state_archive_file_list.txt|outputs/experiments/615_current_smoke_audit_archive_size_audit/data/current_smoke_audit_archive_file_list.txt|outputs/experiments/615_current_smoke_audit_archive_size_audit/data/current_smoke_audit_archive_size_audit.json|outputs/experiments/632_current_resume_archive_size_audit/data/current_resume_archive_file_list.txt|outputs/experiments/632_current_resume_archive_size_audit/data/current_resume_archive_size_audit.json|outputs/experiments/588_post_sparse_hardening_resume_checkpoint/data/post_sparse_hardening_resume_checkpoint.json|outputs/experiments/594_current_handoff_archive_refresh_size_audit/data/current_handoff_archive_refresh_file_list.txt|outputs/experiments/594_current_handoff_archive_refresh_size_audit/data/current_handoff_archive_refresh_size_audit.json|outputs/experiments/682_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/623_current_handoff_archive_manuscript_refresh/data/current_handoff_archive_manuscript_refresh_file_list.txt|outputs/experiments/616_current_handoff_archive_smoke_audit_refresh/data/current_handoff_archive_smoke_audit_refresh_file_list.txt|outputs/experiments/622_current_manuscript_archive_size_audit/data/current_manuscript_archive_file_list.txt|outputs/experiments/622_current_manuscript_archive_size_audit/data/current_manuscript_archive_size_audit.json|outputs/experiments/710_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/595_current_handoff_archive_refresh/data/current_handoff_archive_refresh_file_list.txt|outputs/experiments/734_current_state_archive_coverage_audit_refresh/data/current_state_archive_file_list.txt|outputs/experiments/633_current_handoff_archive_resume_refresh/data/current_handoff_archive_resume_refresh_file_list.txt,move directory then create compatibility symlink at original outputs/experiments path
