branch_key,case_count,all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,mean_unique_truth_hit_count
target2_close14,6,1,4,1,2,1.1666666666666667
target2_close50_linear29p5,6,0,0,3,1,0.6666666666666666
