branch_key,case_count,all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,mean_unique_truth_hit_count,dominant_failure_label,failure_label_counts,mean_assigned_x_span_mm,mean_max_assigned_detection_rank
target2_close14,6,6,6,6,6,3.0,all_truth,"{""all_truth"": 6}",77.16666666666667,10.833333333333334
target2_close50_linear29p5,6,1,3,6,4,2.1666666666666665,target0_missed,"{""all_truth"": 1, ""target0_missed"": 3, ""target2_missed"": 2}",79.5,9.166666666666666
