branch_key,case_count,all_truth_case_count,all_truth_case_fraction,target0_hit_count,target1_hit_count,target2_hit_count,unique_all_truth_case_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_truth_hit_count,mean_unique_truth_hit_count,median_best_candidate_x_mm,median_candidate_x_span_mm,mean_elapsed_time_s
target2_close14,6,0,0.0,0,6,6,0,0,6,6,2.0,2.0,260.5,24.5,79.75213710467021
target2_close50_linear29p5,6,0,0.0,0,6,0,0,0,6,0,1.0,1.0,253.5,29.0,65.6350268125534
