probe_family,priority,matched_existing_family,claim_value,seed_count,existing_seed_count,missing_seed_count,missing_seed_values,estimated_missing_runtime_s,estimated_missing_runtime_min,aggregate_command,launch_status
close14_source3_txrx40,1,close50_source3_txrx40,matches close50 source3 Tx/Rx40 while retaining close14 spacing,3,1,2,"21,34",2292.196608066559,38.20327680110931,conda run -n gpr-fdtd-fwi python run_coordinate_confidence_aggregate.py outputs/experiments/*_coordinate_optimizer_close14_seed13_sources3_txrx40_objectives/data/multi_rebar_coordinate_optimizer_summary.json outputs/experiments/*_coordinate_optimizer_close14_seed21_sources3_txrx40_objectives/data/multi_rebar_coordinate_optimizer_summary.json outputs/experiments/*_coordinate_optimizer_close14_seed34_sources3_txrx40_objectives/data/multi_rebar_coordinate_optimizer_summary.json --run-name coordinate_confidence_close14_sources3_txrx40_matched_seed_replicates,ready_skip_existing
close50_source3_txrx45,2,close14_source3_txrx45,matches close14 source3 Tx/Rx45 while retaining close50 spacing,3,0,3,"13,21,34",4294.377366304398,71.57295610507329,conda run -n gpr-fdtd-fwi python run_coordinate_confidence_aggregate.py outputs/experiments/*_coordinate_optimizer_close50_seed13_sources3_txrx45_objectives/data/multi_rebar_coordinate_optimizer_summary.json outputs/experiments/*_coordinate_optimizer_close50_seed21_sources3_txrx45_objectives/data/multi_rebar_coordinate_optimizer_summary.json outputs/experiments/*_coordinate_optimizer_close50_seed34_sources3_txrx45_objectives/data/multi_rebar_coordinate_optimizer_summary.json --run-name coordinate_confidence_close50_sources3_txrx45_matched_seed_replicates,ready_skip_existing
