family,source3_seed_values,source3_source_count,source3_tx_rx_offset_mm,source3_receiver_sampling,source3_backend,target0_target1_gap_mm,target1_target2_gap_mm,target2_x_mm,true_z_values_mm,truth_radius_values_mm,source3_replication_signature,source3_truth_fraction,source3_strong_fraction,source3_weak_fraction,source3_evidence_role,source4_evidence_role,source5_evidence_scope,source5_evidence_role
close50,"13,21,34",3,40,"missing,nearest",gpu-cpml,60,50,300,"90,90,90","5,6,8","noise10_seed34|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed34|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed13|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed13|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed21|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed21|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1",0.0,0.0,1.0,matched_three_seed_failure,three_seed_exact_recovery,matched_source_count_transition,three_seed_exact_recovery
close14,"13,21,34",3,45,"missing,nearest",gpu-cpml,60,14,264,"90,90,90","5,6,8","noise10_seed34|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed34|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed13|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed13|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed21|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed21|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1",0.8333333333333334,1.0,0.0,three_seed_near_exact_context,three_seed_exact_recovery,three_seed_source5_noise_boundary_context,three_seed_exact_recovery
