branch_key,case_count,best_top3_case_count,best_top3_config_key,best_top5_case_count,best_top5_config_key,best_top10_case_count,best_top10_config_key,best_top20_case_count,best_top20_config_key,best_top40_case_count,best_top40_config_key,best_top80_case_count,best_top80_config_key
target2_close14,6,0,,2,mean_top20_distinct20_baseline,4,mean_top20_distinct20_baseline,6,mean_top20_moderate12_baseline,6,mean_top20_moderate12_baseline,6,mean_top20_moderate12_baseline
target2_close50_linear29p5,6,0,,0,,0,,6,mean_top20_distinct20_baseline,6,mean_top20_distinct20_baseline,6,mean_top20_distinct20_baseline
