objective,case_count,top1_all_truth_case_count,top1_target0_hit_count,top1_target1_hit_count,top1_target2_hit_count,median_first_all_truth_rank,max_first_all_truth_rank,first_truth_top1_case_count,first_truth_top3_case_count,first_truth_top5_case_count,first_truth_top10_case_count,first_truth_top20_case_count,first_truth_top50_case_count,first_truth_top100_case_count,first_truth_top200_case_count,first_truth_top500_case_count,first_truth_top1140_case_count
component_balanced,12,0,2,2,10,23.5,151.0,0,1,1,3,5,10,11,12,12,12
hybrid_span_component,12,0,1,6,5,27.5,168.0,0,0,0,1,2,8,9,12,12,12
component_floor_span,12,0,4,2,9,60.0,184.0,0,0,0,0,2,5,9,12,12,12
component_left_floor,12,0,2,2,9,70.5,287.0,0,0,0,0,1,4,8,11,12,12
component_sum,12,0,0,7,6,157.0,452.0,0,0,0,0,0,0,4,7,12,12
component_mean_min,12,0,0,7,6,232.5,580.0,0,0,0,0,0,0,2,5,11,12
component_min,12,0,0,7,6,328.5,714.0,0,0,0,0,0,0,2,4,10,12
