target,sources,run_count,accepted_fraction,median_margin,q25_margin,q75_margin,first_run,last_run
0,5,6,1.0,0.0005587558209988724,0.0005241230038174919,0.0005796141081808835,740,839
0,7,2,0.5,0.0005051561132029354,0.00047387548574865214,0.0005364367406572187,784,858
0,8,107,0.7102803738317757,0.0005149536011171754,0.0004994158568874113,0.0005477954246656744,789,1214
0,9,15,0.4666666666666667,0.0004974545887538179,0.0004848172900901362,0.0005394060917978541,788,1140
0,11,3,0.3333333333333333,0.0004500004824397989,0.0004442359638232255,0.00047715479439641197,951,1026
0,15,1,0.0,0.00045217272552704885,0.00045217272552704885,0.00045217272552704885,801,801
1,5,101,0.7227722772277227,0.0005293926081035016,0.000496245084370777,0.0005749016733317056,742,1240
1,7,2,0.0,0.0003935877199513129,0.0003712461751781944,0.0004159292647244314,785,998
1,8,3,0.0,0.0004925234597984926,0.0004565200207279803,0.0004962220443115676,790,899
1,9,25,0.68,0.0005083545042582488,0.000496302094739793,0.0005314442209853054,786,1217
1,11,2,0.0,0.00037735519171332946,0.00037027949746315644,0.0003844308859635025,984,1218
2,4,9,0.8888888888888888,0.0016323604962697885,0.001553339650317613,0.001934354737835993,1219,1257
2,5,90,0.5555555555555556,0.0005095607894654557,0.0004773131198189664,0.0005634811856707741,741,1226
2,7,25,0.32,0.0004743121935114943,0.00043916415530463604,0.0005036569714783543,780,1208
2,8,3,0.3333333333333333,0.0004722036514248802,0.00046635114984846376,0.0004982731744649239,791,869
2,9,42,0.6428571428571429,0.000516728274334302,0.000487772391592276,0.0005529426231999099,781,1209
2,11,6,0.0,0.0004002271453473769,0.00039701084715625893,0.00040656397566676047,890,1153
