run_number,run_dir,summary_path,status,reason,figure_path,context_summary_path,figure_notes_path,width_px,height_px,unique_colors,nonwhite_fraction,validation_pixel_stride,validation_sample_pixels
1093,outputs/experiments/1093_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources11_txrx60_ringdown050_objectives,outputs/experiments/1093_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources11_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1093_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources11_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1093_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources11_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1093_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources11_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1337,0.11001629831761014,5,188363
1092,outputs/experiments/1092_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources9_txrx60_ringdown050_objectives,outputs/experiments/1092_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources9_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1092_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources9_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1092_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources9_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1092_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources9_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1337,0.10996320933516668,5,188363
1091,outputs/experiments/1091_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources7_txrx60_ringdown050_objectives,outputs/experiments/1091_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources7_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1091_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources7_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1091_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources7_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1091_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources7_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1337,0.10995259153867798,5,188363
1090,outputs/experiments/1090_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1090_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1090_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1090_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1090_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1337,0.1099207381492119,5,188363
1089,outputs/experiments/1089_coordinate_optimizer_variable_depth_radius_seed20365011074_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1089_coordinate_optimizer_variable_depth_radius_seed20365011074_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1089_coordinate_optimizer_variable_depth_radius_seed20365011074_target0_sources8_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1089_coordinate_optimizer_variable_depth_radius_seed20365011074_target0_sources8_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1089_coordinate_optimizer_variable_depth_radius_seed20365011074_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1337,0.11003753391058753,5,188363
1088,outputs/experiments/1088_coordinate_optimizer_variable_depth_radius_seed12586269025_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1088_coordinate_optimizer_variable_depth_radius_seed12586269025_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1088_coordinate_optimizer_variable_depth_radius_seed12586269025_target1_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1088_coordinate_optimizer_variable_depth_radius_seed12586269025_target1_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1088_coordinate_optimizer_variable_depth_radius_seed12586269025_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1300,0.11004284280883188,5,188363
1087,outputs/experiments/1087_coordinate_optimizer_variable_depth_radius_seed12586269025_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1087_coordinate_optimizer_variable_depth_radius_seed12586269025_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1087_coordinate_optimizer_variable_depth_radius_seed12586269025_target2_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1087_coordinate_optimizer_variable_depth_radius_seed12586269025_target2_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1087_coordinate_optimizer_variable_depth_radius_seed12586269025_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1300,0.11005346060532058,5,188363
1086,outputs/experiments/1086_coordinate_optimizer_variable_depth_radius_seed12586269025_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1086_coordinate_optimizer_variable_depth_radius_seed12586269025_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1086_coordinate_optimizer_variable_depth_radius_seed12586269025_target0_sources8_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1086_coordinate_optimizer_variable_depth_radius_seed12586269025_target0_sources8_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1086_coordinate_optimizer_variable_depth_radius_seed12586269025_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1300,0.11015432967196317,5,188363
1085,outputs/experiments/1085_coordinate_optimizer_variable_depth_radius_seed7778742049_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1085_coordinate_optimizer_variable_depth_radius_seed7778742049_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1085_coordinate_optimizer_variable_depth_radius_seed7778742049_target1_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1085_coordinate_optimizer_variable_depth_radius_seed7778742049_target1_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1085_coordinate_optimizer_variable_depth_radius_seed7778742049_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1358,0.10817411062682161,5,188363
1084,outputs/experiments/1084_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources9_txrx60_ringdown050_objectives,outputs/experiments/1084_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources9_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1084_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources9_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1084_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources9_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1084_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources9_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1358,0.1082059640162877,5,188363
1083,outputs/experiments/1083_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources7_txrx60_ringdown050_objectives,outputs/experiments/1083_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources7_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1083_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources7_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1083_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources7_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1083_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources7_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1358,0.1082165818127764,5,188363
