velocity_m_per_ns,time_zero_ns,epsr,profile_score,mean_support_fraction,valid_cue_count,file
0.08,-0.05,14.043049667762773,2.792904246532025,1.0,3,PROJECT001C__014.DZT
0.08,-0.045000000000000005,14.043049667762773,2.78919220789077,1.0,3,PROJECT001C__014.DZT
0.08,-0.04,14.043049667762773,2.785220853483804,1.0,3,PROJECT001C__014.DZT
0.08,-0.035,14.043049667762773,2.781351474934336,1.0,3,PROJECT001C__014.DZT
0.08,-0.030000000000000002,14.043049667762773,2.7772993742580128,1.0,3,PROJECT001C__014.DZT
0.08,-0.025,14.043049667762773,2.7731252056689453,1.0,3,PROJECT001C__014.DZT
0.08,-0.020000000000000004,14.043049667762773,2.7688659080677867,1.0,3,PROJECT001C__014.DZT
0.08,-0.015,14.043049667762773,2.7644780157004654,1.0,3,PROJECT001C__014.DZT
0.08,-0.010000000000000002,14.043049667762773,2.7599378336475517,1.0,3,PROJECT001C__014.DZT
0.08,-0.0050000000000000044,14.043049667762773,2.7556622067575063,1.0,3,PROJECT001C__014.DZT
0.08,0.0,14.043049667762773,2.751549453977036,1.0,3,PROJECT001C__014.DZT
0.08,0.0049999999999999975,14.043049667762773,2.747488082277703,1.0,3,PROJECT001C__014.DZT
0.08,0.009999999999999995,14.043049667762773,2.7435984669684252,1.0,3,PROJECT001C__014.DZT
0.08,0.015,14.043049667762773,2.7397178550861803,1.0,3,PROJECT001C__014.DZT
0.08,0.020000000000000004,14.043049667762773,2.7355158475171977,1.0,3,PROJECT001C__014.DZT
0.08,0.024999999999999994,14.043049667762773,2.73103967005221,1.0,3,PROJECT001C__014.DZT
0.08,0.03,14.043049667762773,2.726452959104325,1.0,3,PROJECT001C__014.DZT
0.08,0.035,14.043049667762773,2.7216124906794215,1.0,3,PROJECT001C__014.DZT
0.08,0.039999999999999994,14.043049667762773,2.7166635085957362,1.0,3,PROJECT001C__014.DZT
0.08,0.045,14.043049667762773,2.711824759846756,1.0,3,PROJECT001C__014.DZT
0.08,0.05,14.043049667762773,2.706944231804318,1.0,3,PROJECT001C__014.DZT
0.08,0.05499999999999999,14.043049667762773,2.7021737129183925,1.0,3,PROJECT001C__014.DZT
0.08,0.06,14.043049667762773,2.697480458178815,1.0,3,PROJECT001C__014.DZT
0.08,0.065,14.043049667762773,2.69294043804892,1.0,3,PROJECT001C__014.DZT
0.08,0.06999999999999999,14.043049667762773,2.6884426192911928,1.0,3,PROJECT001C__014.DZT
0.08,0.075,14.043049667762773,2.683866517876877,1.0,3,PROJECT001C__014.DZT
0.08,0.08,14.043049667762773,2.679242456080756,1.0,3,PROJECT001C__014.DZT
0.08,0.085,14.043049667762773,2.6745283791523886,1.0,3,PROJECT001C__014.DZT
0.08,0.09000000000000001,14.043049667762773,2.6698165623525427,1.0,3,PROJECT001C__014.DZT
0.08,0.09499999999999999,14.043049667762773,2.6650790377167004,1.0,3,PROJECT001C__014.DZT
0.08,0.09999999999999999,14.043049667762773,2.6604263532392305,1.0,3,PROJECT001C__014.DZT
