file,channel,apex_group,group_size,x_m,trace_index,apex_time_ns,sample_index,relative_strength,fitted_velocity_m_per_ns,fitted_epsr,fitted_time_zero_ns,fitted_depth_m,template_score,support_fraction,calibration_scope
PROJECT001C__014.DZT,0,1,1,0.129987,39,0.6974459724950884,71,20.11042460859936,0.176,2.9014565429261934,-0.05,0.06577524557956778,3.9496106740797945,1.0,field_template_overlay_not_ground_truth
PROJECT001C__014.DZT,0,2,1,0.403293,121,0.7072691552062869,72,17.838023207096164,0.176,2.9014565429261934,-0.05,0.06663968565815324,2.2565028595618934,1.0,field_template_overlay_not_ground_truth
PROJECT001C__014.DZT,0,3,1,0.693264,208,0.7072691552062869,72,20.637786289751073,0.176,2.9014565429261934,-0.05,0.06663968565815324,3.320219153486171,1.0,field_template_overlay_not_ground_truth
PROJECT001C__016.DZT,0,1,2,0.113322,34,0.7269155206286837,74,19.673984672528665,0.1,8.987551787368176,-0.05,0.03884577603143419,4.071173575384399,1.0,field_template_overlay_not_ground_truth
PROJECT001C__016.DZT,0,2,2,0.43329,130,0.7662082514734774,78,18.347304982991623,0.1,8.987551787368176,-0.05,0.04081041257367388,3.079071588129823,1.0,field_template_overlay_not_ground_truth
PROJECT001C__016.DZT,0,3,2,0.706596,212,0.8349705304518664,85,16.60242760105755,0.1,8.987551787368176,-0.05,0.044248526522593326,2.767252138575962,1.0,field_template_overlay_not_ground_truth
