objective_label,case_count,top1_all_truth_case_count,first_truth_top10_case_count,first_truth_top50_case_count,median_first_truth_rank,max_first_truth_rank,mean_top_unique_truth_hit_count
span_bonus,12,0,2,8,23.5,129.0,1.0
balanced,12,0,2,8,29.5,145.0,0.9166666666666666
min_span,12,0,1,4,67.5,276.0,1.25
mask,12,0,1,4,103.0,309.0,1.25
min,12,0,0,2,225.5,714.0,1.0833333333333333
sum,12,0,0,1,101.0,360.0,1.0833333333333333
