branch_key,case_count,best_top10_case_count,best_top50_case_count,best_top200_case_count,leave_one_top50_case_count,leave_one_top200_case_count,feature_generalization_failure_count,dominant_blocker_label,median_leave_one_rank,max_leave_one_rank
target2_close14,6,5,6,6,6,6,0,top1_selector_gap_rank_gate_ok,23.5,50.0
target2_close50_linear29p5,6,3,5,6,1,3,3,feature_generalization_failure,261.5,794.0
